"account.id","price.level","no.seats","marketing.source","season","location","set","multiple.tickets"
"001i000000oks56","1",1,"","2013-2014","Berkeley Sunday","6","no"
"001i000000NuQMA","3",1,"Other","2013-2014","Berkeley Saturday","6","no"
"001i000000NuQnJ","2",2,"","2011-2012","Berkeley Sunday","2","no"
"001i000000NuREZ","3",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuRX1","1",2,"","2011-2012","Berkeley Sunday","4","no"
"001i000000NuRdu","4",2,"Philharmonia website","2013-2014","Berkeley Saturday","1","no"
"001i000000aUDpI","3",2,"KDFC Radio","2013-2014","San Francisco","5","no"
"001i000000NuRPu","3",2,"","2012-2013","Berkeley Saturday","2","no"
"001i000000NuR95","3",2,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuRIa","3",2,"","2011-2012","Family concert","3","no"
"001i000000NuRVk","1",12,"","2011-2012","San Francisco","3","yes"
"001i000000oks4N","4",1,"Philharmonia website","2013-2014","San Francisco","2","no"
"001i000000NuQSw","4",1,"","2012-2013","San Francisco","6","no"
"001i000000NuRvE","4",2,"Other","2013-2014","Berkeley Saturday","5","no"
"001i000000NuQxG","3",2,"","2010-2011","Berkeley Sunday","2","no"
"001i000000NuRWF","3",4,"","2011-2012","Berkeley Sunday","5","yes"
"001i000000NuNsl","3",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuQV1","1",1,"","2012-2013","San Francisco","3","no"
"001i000000NuRDp","4",2,"Postcard or brochure","2013-2014","Berkeley Saturday","5","no"
"001i000000NuROi","4",2,"","2012-2013","Berkeley Sunday","6","no"
"001i000000aSCAl","3",4,"Other print","2013-2014","San Francisco","6","no"
"001i000000NuRWd","",2,"","2011-2012","Berkeley Saturday","7","no"
"001i000000NuOeX","4",2,"","2010-2011","Peninsula","8","no"
"001i000000NuRSd","4",2,"","2012-2013","San Francisco","1","no"
"001i000000NuP5H","1",2,"","2013-2014","Berkeley Saturday","6","no"
"001i000000NuOWt","3",2,"","2011-2012","Berkeley Saturday","7","no"
"001i000000NuRWS","",2,"","2011-2012","Peninsula","7","no"
"001i000000NuRAZ","4",2,"","2011-2012","San Francisco","5","no"
"001i000000NuRVa","2",2,"","2011-2012","","3","no"
"001i000000NuQxS","2",2,"","2011-2012","San Francisco","3","no"
"001i000000NuOSw","2",2,"","2011-2012","Berkeley Saturday","7","no"
"001i000000NuRTo","",2,"","2012-2013","Berkeley Saturday","2","no"
"001i000000LhyZR","4",1,"","2012-2013","Berkeley Sunday","6","no"
"001i000000NuQQu","2",2,"","2012-2013","Berkeley Sunday","3","no"
"001i000000Lhydo","4",1,"","2011-2012","San Francisco","2","no"
"001i000000Lhyam","4",2,"","2011-2012","San Francisco","7","no"
"001i000000NuRQQ","4",1,"","2012-2013","San Francisco","6","no"
"001i000000oks2J","1",1,"Facebook or Twitter","2013-2014","Berkeley Saturday","4","no"
"001i000000NuRW2","2",1,"","2011-2012","Peninsula","4","no"
"001i000000NuRGH","4",2,"","2012-2013","Berkeley Sunday","5","no"
"001i000000NuRUC","",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuP4p","1",2,"","2010-2011","Berkeley Sunday","8","no"
"001i000000NuRUV","3",2,"","2013-2014","Berkeley Sunday","1","no"
"001i000000NuRG0","3",2,"Philharmonia website","2013-2014","Berkeley Saturday","6","no"
"001i000000NuQve","1",2,"","2010-2011","San Francisco","1","no"
"001i000000NuQv0","4",1,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuQco","",1,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuRVC","2",2,"","2010-2011","Berkeley Sunday","8","no"
"001i000000NuO2W","4",2,"Philharmonia website","2013-2014","San Francisco","5","no"
"001i000000NuRKZ","2",1,"","2011-2012","Berkeley Saturday","5","no"
"001i000000NuQx8","4",2,"","2010-2011","San Francisco","2","no"
"001i000000NuPT0","2",2,"","2011-2012","Peninsula","2","no"
"001i000000NuP04","3",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuNg1","3",2,"","2013-2014","San Francisco","1","no"
"001i000000NuRUU","",1,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuO2Q","3",1,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuOOn","4",1,"","2010-2011","San Francisco","8","no"
"001i000000Li94R","4",2,"","2011-2012","San Francisco","2","no"
"001i000000NuRkC","2",1,"Postcard or brochure","2013-2014","San Francisco","1","no"
"001i000000LhyUk","2",3,"","2012-2013","San Francisco","2","no"
"001i000000NuOT0","4",1,"","2012-2013","Berkeley Sunday","6","no"
"001i000000NuRVD","1",1,"","2011-2012","San Francisco","4","no"
"001i000000NuPrA","4",1,"","2010-2011","San Francisco","1","no"
"001i000000LhyYc","",3,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuQsH","2",2,"","2013-2014","Berkeley Saturday","5","no"
"001i000000NuQxB","4",1,"","2010-2011","San Francisco","2","no"
"001i000000NuPLa","4",2,"","2013-2014","San Francisco","3","no"
"001i000000NuRFN","3",1,"","2012-2013","Berkeley Saturday","4","no"
"001i000000LhyVn","4",2,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuRMR","3",2,"","2011-2012","Peninsula","6","no"
"001i000000NuPwA","4",1,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuQU3","2",2,"Philharmonia website","2013-2014","Berkeley Saturday","1","no"
"001i000000NuNDm","3",2,"","2012-2013","San Francisco","3","no"
"001i000000NuRQq","3",6,"","2012-2013","Berkeley Sunday","2","yes"
"001i000000NuRT1","",2,"","2012-2013","San Francisco","1","no"
"001i000000NuRJJ","2",2,"","2011-2012","Berkeley Sunday","4","no"
"001i000000NuR8c","4",2,"","2012-2013","Berkeley Sunday","4","no"
"001i000000NuRU5","1",2,"","2011-2012","Berkeley Sunday","5","no"
"001i000000NuRVI","2",1,"","2010-2011","San Francisco","3","no"
"001i000000NuRQd","2",2,"","2012-2013","Berkeley Saturday","1","no"
"001i000000NuNr3","4",2,"","2010-2011","Berkeley Saturday","4","no"
"001i000000NuOlF","4",2,"","2010-2011","Peninsula","1","no"
"001i000000NuNXT","4",2,"","2011-2012","Berkeley Sunday","7","no"
"001i000000NuRKK","0",2,"","2011-2012","Peninsula","4","no"
"001i000000NuQcv","1",1,"","2013-2014","Berkeley Sunday","2","no"
"001i000000LhyQr","3",2,"","2010-2011","San Francisco","5","no"
"001i000000oks2h","2",2,"San Francisco Chronicle","2013-2014","Berkeley Saturday","1","no"
"001i000000NuQbZ","2",1,"","2011-2012","Berkeley Sunday","7","no"
"001i000000LhybD","2",1,"","2011-2012","Berkeley Saturday","7","no"
"001i000000NuRPS","4",2,"","2012-2013","San Francisco","6","no"
"001i000000q7wB7","4",1,"","2013-2014","San Francisco","6","no"
"001i000000NuOBf","1",1,"","2012-2013","Berkeley Saturday","3","no"
"001i000000q7wAY","4",1,"","2013-2014","San Francisco","1","no"
"001i000000NuRRJ","2",1,"","2012-2013","San Francisco","5","no"
"001i000000NuR0h","2",2,"Philharmonia website","2013-2014","Berkeley Saturday","6","no"
"001i000000NuQik","3",2,"Philharmonia website","2013-2014","San Francisco","5","no"
"001i000000NuNmN","3",2,"","2011-2012","San Francisco","4","no"
"001i000000NuPbE","4",1,"","2011-2012","San Francisco","4","no"
"001i000000NuRTB","",2,"","2012-2013","Berkeley Saturday","1","no"
"001i000000NuROT","1",2,"","2011-2012","Berkeley Sunday","5","no"
"001i000000NuOys","3",2,"City Box Office newsletter","2013-2014","San Francisco","4","no"
"001i000000NuSAV","4",2,"City Box Office newsletter","2013-2014","Berkeley Saturday","1","no"
"001i000000NuOpV","3",2,"","2012-2013","Peninsula","6","no"
"001i000000NuNlp","4",2,"","2011-2012","San Francisco","4","no"
"001i000000NuNli","4",1,"","2011-2012","Berkeley Sunday","2","no"
"001i000000NuRS8","3",3,"","2011-2012","Berkeley Saturday","6","no"
"001i000000NuQS5","4",2,"Postcard or brochure","2013-2014","San Francisco","2","no"
"001i000000LhyXd","4",1,"","2011-2012","Berkeley Sunday","7","no"
"001i000000NuRFk","Adult",6,"","2012-2013","Family concert","5","yes"
"001i000000NuR2K","4",1,"","2010-2011","San Francisco","5","no"
"001i000000NuPFK","3",4,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuQnl","4",2,"","2012-2013","Berkeley Saturday","5","no"
"001i000000NuREx","2",1,"","2012-2013","San Francisco","3","no"
"001i000000oks3a","4",2,"City Box Office special offer email","2013-2014","Berkeley Sunday","3","no"
"001i000000NuRJo","4",4,"","2011-2012","Peninsula","4","yes"
"001i000000NuO59","2",3,"","2010-2011","Peninsula","5","no"
"001i000000NuRVH","2",2,"","2011-2012","San Francisco","4","no"
"001i000000NuOSQ","",1,"","2012-2013","San Francisco","1","no"
"001i000000NuRUw","",2,"","2012-2013","Berkeley Sunday","6","no"
"001i000000oks1l","4",2,"Philharmonia website","2013-2014","San Francisco","5","no"
"001i000000NuOP0","4",2,"","2012-2013","San Francisco","5","no"
"001i000000NuRQc","1",2,"","2012-2013","Peninsula","3","no"
"001i000000NuPF5","1",1,"","2011-2012","Peninsula","7","no"
"001i000000NuRPb","4",1,"","2012-2013","Peninsula","3","no"
"001i000000NuR1T","4",1,"","2012-2013","San Francisco","2","no"
"001i000000oks4x","3",2,"","2013-2014","Berkeley Sunday","6","no"
"001i000000NuQky","4",1,"","2011-2012","","5","no"
"001i000000NuOys","3",2,"","2010-2011","San Francisco","3","no"
"001i000000NuQlU","3",2,"Other","2013-2014","San Francisco","1","no"
"001i000000NuOVA","1",2,"KDFC Radio","2013-2014","Berkeley Saturday","6","no"
"001i000000NuQTw","4",2,"","2012-2013","San Francisco","5","no"
"001i000000NuQnl","4",3,"Philharmonia website","2013-2014","Berkeley Saturday","6","yes"
"001i000000NuRRW","3",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuQPA","3",1,"","2010-2011","Peninsula","6","no"
"001i000000NuRK9","4",1,"","2011-2012","San Francisco","4","no"
"001i000000oks3m","4",2,"Word of mouth","2013-2014","Berkeley Saturday","5","no"
"001i000000Lhybl","1",2,"","2012-2013","Berkeley Sunday","6","no"
"001i000000NuNnv","4",1,"","2011-2012","San Francisco","7","no"
"001i000000NuR7F","3",1,"Other","2013-2014","Berkeley Sunday","1","no"
"001i000000NuQMb","4",2,"","2012-2013","Peninsula","6","no"
"001i000000NuRAf","2",2,"","2012-2013","San Francisco","5","no"
"001i000000NuQqi","2",4,"","2011-2012","Peninsula","2","no"
"001i000000NuPNv","1",2,"","2012-2013","Berkeley Sunday","6","no"
"001i000000NuR1w","4",4,"","2010-2011","Berkeley Saturday","8","no"
"001i000000NuRTO","3",2,"","2010-2011","Peninsula","8","no"
"001i000000NuQhY","4",1,"","2012-2013","Peninsula","2","no"
"001i000000NuRDE","1",2,"","2012-2013","Berkeley Saturday","2","no"
"001i000000oks4G","3",2,"Browsing City Box Office website","2013-2014","San Francisco","5","no"
"001i000000NuRL5","4",2,"Other","2013-2014","Berkeley Saturday","4","no"
"001i000000NuRDr","4",1,"","2011-2012","San Francisco","5","no"
"001i000000NuPer","2",2,"","2012-2013","San Francisco","2","no"
"001i000000ZtAKC","1",2,"Philharmonia website","2013-2014","Berkeley Saturday","5","no"
"001i000000NuOWl","3",1,"","2012-2013","Berkeley Sunday","1","no"
"001i000000NuOST","4",3,"","2011-2012","Berkeley Sunday","4","no"
"001i000000NuRCn","1",1,"","2012-2013","Peninsula","2","no"
"001i000000NuQS5","2",2,"Word of mouth","2013-2014","Berkeley Saturday","1","no"
"001i000000NuQZw","3",2,"","2011-2012","Berkeley Saturday","4","no"
"001i000000oks2R","3",2,"Philharmonia website","2013-2014","Berkeley Saturday","5","no"
"001i000000NuOrg","1",2,"","2010-2011","Berkeley Saturday","1","no"
"001i000000NuQv6","3",1,"Postcard or brochure","2013-2014","Berkeley Saturday","1","no"
"001i000000NuRCY","1",2,"","2012-2013","Peninsula","2","no"
"001i000000NuR8z","",2,"","2012-2013","Peninsula","2","no"
"001i000000NuQ7k","4",1,"","2010-2011","San Francisco","7","no"
"001i000000NuQR1","4",2,"","2011-2012","San Francisco","3","no"
"001i000000NuPPp","4",2,"","2013-2014","Berkeley Saturday","1","no"
"001i000000oks3q","4",4,"Philharmonia website","2013-2014","Berkeley Saturday","2","no"
"001i000000NuOpV","2",1,"","2012-2013","Berkeley Saturday","1","no"
"001i000000NuR77","2",2,"","2011-2012","Peninsula","6","no"
"001i000000NuQ1c","1",2,"","2012-2013","San Francisco","1","no"
"001i000000q7wAt","4",2,"","2013-2014","Berkeley Saturday","1","no"
"001i000000NuRTy","",3,"","2012-2013","Berkeley Sunday","2","no"
"001i000000Lhya0","4",3,"","2011-2012","Berkeley Sunday","3","no"
"001i000000NuOQJ","3",2,"","2011-2012","San Francisco","2","no"
"001i000000oks3J","4",2,"Web search","2013-2014","Berkeley Saturday","2","no"
"001i000000NuRC2","4",1,"","2011-2012","San Francisco","7","no"
"001i000000NuRVp","4",1,"","2013-2014","San Francisco","1","no"
"001i000000oks2s","2",2,"Other","2013-2014","Berkeley Saturday","6","no"
"001i000000NuRWb","",2,"","2011-2012","San Francisco","7","no"
"001i000000NuRKh","4",5,"","2011-2012","Berkeley Sunday","5","no"
"001i000000NuR92","",2,"","2012-2013","Peninsula","3","no"
"001i000000NuRIq","4",1,"","2011-2012","Berkeley Sunday","2","no"
"001i000000oks31","4",2,"Philharmonia website","2013-2014","Berkeley Saturday","4","no"
"001i000000NuR3k","4",2,"","2010-2011","Berkeley Sunday","7","no"
"001i000000NuRQU","Adult",4,"","2012-2013","Family concert","5","yes"
"001i000000NuQnl","4",2,"Postcard or brochure","2013-2014","Berkeley Saturday","4","no"
"001i000000bV1Ra","4",1,"Word of mouth","2013-2014","Berkeley Saturday","5","no"
"001i000000NuRM6","4",2,"","2011-2012","Berkeley Saturday","4","no"
"001i000000NuRGt","3",1,"","2012-2013","Peninsula","6","no"
"001i000000NuPWF","1",2,"","2010-2011","San Francisco","2","no"
"001i000000NuR1t","4",1,"Word of mouth","2013-2014","Peninsula","2","no"
"001i000000oks4X","4",2,"Other","2013-2014","Berkeley Saturday","2","no"
"001i000000NuRMh","4",2,"Word of mouth","2013-2014","Berkeley Saturday","4","no"
"001i000000LhyZJ","3",2,"","2010-2011","San Francisco","5","no"
"001i000000NuR3Z","2",2,"","2010-2011","San Francisco","5","no"
"001i000000NuRNQ","4",4,"San Francisco Chronicle","2013-2014","San Francisco","5","no"
"001i000000NuRKy","4",2,"","2011-2012","Berkeley Saturday","6","no"
"001i000000NuR1T","4",1,"","2012-2013","San Francisco","1","no"
"001i000000LhyVr","4",1,"","2013-2014","Berkeley Sunday","6","no"
"001i000000NuRNR","1",2,"","2011-2012","San Francisco","6","no"
"001i000000NuQsx","4",2,"","2010-2011","Berkeley Saturday","8","no"
"001i000000NuRW0","2",1,"","2011-2012","Peninsula","4","no"
"001i000000oks2B","3",4,"Philharmonia website","2013-2014","Berkeley Saturday","3","no"
"001i000000NuNUu","3",1,"Postcard or brochure","2013-2014","San Francisco","4","no"
"001i000000NuRU5","",2,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuRO4","3",1,"","2011-2012","Berkeley Sunday","5","no"
"001i000000NuRBM","4",1,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuRMm","4",2,"","2012-2013","San Francisco","1","no"
"001i000000NuRMU","4",2,"Postcard or brochure","2013-2014","Berkeley Sunday","6","no"
"001i000000oks4R","3",2,"","2013-2014","San Francisco","4","no"
"001i000000oks1Q","4",1,"KDFC Radio","2013-2014","San Francisco","1","no"
"001i000000NuRJX","4",2,"","2011-2012","Berkeley Sunday","4","no"
"001i000000Lhydj","4",2,"","2010-2011","San Francisco","1","no"
"001i000000NuRD3","3",2,"","2012-2013","San Francisco","2","no"
"001i000000oks4M","3",1,"City Box Office special offer email","2013-2014","Berkeley Sunday","2","no"
"001i000000NuRVQ","3",8,"","2011-2012","Peninsula","2","yes"
"001i000000NuQZe","3",3,"Philharmonia website","2013-2014","San Francisco","3","no"
"001i000000Li96Z","Youth",6,"","2011-2012","Family concert","3","yes"
"001i000000NuQxC","4",1,"","2010-2011","Berkeley Saturday","2","no"
"001i000000NuQVb","4",2,"","2011-2012","Peninsula","7","no"
"001i000000NuRzh","4",1,"New York Times","2013-2014","San Francisco","1","no"
"001i000000NuR7E","1",1,"","2011-2012","San Francisco","6","no"
"001i000000NuOVW","3",2,"","2012-2013","San Francisco","2","no"
"001i000000q7wB8","4",1,"","2013-2014","San Francisco","3","no"
"001i000000NuREn","4",1,"","2012-2013","San Francisco","3","no"
"001i000000NuRAT","2",2,"","2011-2012","San Francisco","2","no"
"001i000000NuP2W","1",2,"Philharmonia website","2013-2014","Berkeley Sunday","3","no"
"001i000000NuOyT","",2,"","2010-2011","San Francisco","8","no"
"001i000000oks1M","1",2,"Other","2013-2014","San Francisco","2","no"
"001i000000oks1M","1",4,"Other","2013-2014","San Francisco","4","no"
"001i000000NuRLJ","4",1,"","2011-2012","San Francisco","6","no"
"001i000000NuR46","4",1,"KDFC Radio","2013-2014","Peninsula","2","no"
"001i000000NuQxa","4",1,"","2010-2011","San Francisco","3","no"
"001i000000NuRRd","1",2,"","2011-2012","Berkeley Sunday","3","no"
"001i000000LhySI","2",2,"","2012-2013","San Francisco","3","no"
"001i000000oks4h","1",2,"KDFC Radio","2013-2014","Berkeley Sunday","5","no"
"001i000000NuOPO","2",2,"","2010-2011","San Francisco","3","no"
"001i000000NuRO3","1",3,"","2012-2013","Berkeley Saturday","5","no"
"001i000000NuQoL","3",4,"","2011-2012","Berkeley Saturday","2","yes"
"001i000000LhyVs","",1,"","2012-2013","San Francisco","1","no"
"001i000000NuRRc","3",1,"Philharmonia website","2013-2014","San Francisco","6","no"
"001i000000NuREz","4",2,"","2012-2013","Berkeley Saturday","3","yes"
"001i000000NuRGK","3",2,"","2012-2013","San Francisco","5","no"
"001i000000oks3k","4",2,"Philharmonia website","2013-2014","Berkeley Saturday","3","no"
"001i000000NuRRc","4",3,"","2012-2013","San Francisco","6","no"
"001i000000NuRIX","2",2,"","2011-2012","San Francisco","2","no"
"001i000000NuRIn","4",2,"","2011-2012","Berkeley Saturday","2","no"
"001i000000NuRUb","",1,"","2012-2013","Berkeley Saturday","4","no"
"001i000000NuiUN","4",2,"","2011-2012","","3","no"
"001i000000NuRSb","4",1,"","2011-2012","San Francisco","6","no"
"001i000000NuRGx","4",1,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuRQv","3",2,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuRTz","4",2,"","2010-2011","Berkeley Saturday","8","no"
"001i000000NuQSw","4",4,"","2012-2013","San Francisco","4","no"
"001i000000LhyU1","0",12,"","2010-2011","Family concert","","yes"
"001i000000LhyRu","0",2,"","2011-2012","Peninsula","6","no"
"001i000000LhyUm","",2,"","2012-2013","San Francisco","1","no"
"001i000000NuRO4","3",1,"","2012-2013","Berkeley Sunday","2","no"
"001i000000NuP52","",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuRKi","1",1,"","2011-2012","Berkeley Saturday","5","no"
"001i000000NuRR5","4",2,"Other radio","2013-2014","Berkeley Saturday","1","no"
"001i000000NuOpe","1",2,"","2012-2013","Berkeley Saturday","5","no"
"001i000000NuROy","4",1,"","2011-2012","San Francisco","7","no"
"001i000000oks4m","3",2,"Word of mouth","2013-2014","Peninsula","2","no"
"001i000000NuOZW","4",2,"","2010-2011","Peninsula","2","no"
"001i000000NuRVS","4",2,"","2011-2012","San Francisco","7","no"
"001i000000q7wAd","1",3,"","2013-2014","Berkeley Sunday","1","no"
"001i000000NuP8O","3",3,"","2012-2013","Berkeley Sunday","5","no"
"001i000000NuR4d","1",2,"","2010-2011","San Francisco","7","no"
"001i000000NuOg3","3",9,"Word of mouth","2013-2014","Berkeley Saturday","6","no"
"001i000000NuRTV","",1,"","2012-2013","Peninsula","2","no"
"001i000000NuRCN","2",2,"","2012-2013","Peninsula","2","no"
"001i000000NuOg3","4",6,"","2012-2013","Berkeley Saturday","3","no"
"001i000000NuR4o","4",2,"","2011-2012","Berkeley Sunday","4","no"
"001i000000NuRL5","4",2,"","2011-2012","Berkeley Saturday","7","no"
"001i000000NuRC2","4",1,"","2012-2013","Berkeley Saturday","2","no"
"001i000000NuRMi","4",1,"Philharmonia website","2013-2014","Berkeley Sunday","6","no"
"001i000000NuOmX","4",4,"","2011-2012","Berkeley Sunday","6","no"
"001i000000LhyYQ","4",1,"","2011-2012","Peninsula","3","no"
"001i000000Lhybl","",2,"","2012-2013","Berkeley Sunday","4","no"
"001i000000NuRDS","2",2,"","2012-2013","Peninsula","3","no"
"001i000000NuR68","1",2,"","2011-2012","San Francisco","2","no"
"001i000000NuO2W","1",2,"Philharmonia website","2013-2014","San Francisco","6","no"
"001i000000NuQD8","2",2,"","2011-2012","San Francisco","5","no"
"001i000000NuNss","4",2,"","2012-2013","Berkeley Sunday","5","no"
"001i000000oks1U","4",1,"","2013-2014","San Francisco","4","no"
"001i000000NuPLC","",1,"","2012-2013","San Francisco","6","no"
"001i000000NuP5W","2",1,"Philharmonia website","2013-2014","San Francisco","5","no"
"001i000000NuR6w","4",1,"","2011-2012","Berkeley Sunday","7","no"
"001i000000NuR60","4",1,"","2010-2011","","","no"
"001i000000oks1T","2",1,"Word of mouth","2013-2014","San Francisco","6","no"
"001i000000NuRL5","4",2,"City Box Office special offer email","2013-2014","Berkeley Saturday","6","no"
"001i000000NuQkI","2",1,"Philharmonia website","2013-2014","San Francisco","6","no"
"001i000000NuRSg","3",3,"","2011-2012","San Francisco","7","no"
"001i000000NuRGm","3",1,"","2012-2013","Berkeley Sunday","6","no"
"001i000000NuQTw","4",2,"","2012-2013","San Francisco","6","no"
"001i000000NuR4h","0",2,"","2010-2011","","","no"
"001i000000q7wAo","4",1,"","2013-2014","Peninsula","1","no"
"001i000000NuOtA","3",2,"","2012-2013","Peninsula","3","no"
"001i000000NuRDj","3",2,"","2012-2013","Berkeley Saturday","3","no"
"001i000000LhybK","1",2,"","2011-2012","San Francisco","4","no"
"001i000000NuRMd","4",2,"","2012-2013","San Francisco","2","no"
"001i000000oks1K","2",1,"Blog post","2013-2014","Peninsula","2","no"
"001i000000NuRMp","4",2,"","2012-2013","Berkeley Sunday","1","no"
"001i000000NuRVa","",2,"","2012-2013","Berkeley Saturday","2","no"
"001i000000NuPhr","4",2,"","2011-2012","Peninsula","7","no"
"001i000000NuQyW","1",2,"","2010-2011","Peninsula","3","no"
"001i000000NuRPu","2",2,"","2010-2011","Berkeley Saturday","4","no"
"001i000000NuRWo","2",2,"","2012-2013","Peninsula","2","no"
"001i000000NuRC1","4",2,"","2012-2013","Peninsula","2","no"
"001i000000NuPhr","4",2,"","2011-2012","Peninsula","4","no"
"001i000000NuRVy","2",2,"","2011-2012","Berkeley Saturday","4","no"
"001i000000NuPp8","4",2,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuRHh","3",2,"","2010-2011","Peninsula","6","no"
"001i000000NuOQZ","4",1,"","2012-2013","Berkeley Sunday","5","no"
"001i000000NuRG7","4",3,"","2012-2013","San Francisco","5","no"
"001i000000NuPeV","2",1,"","2011-2012","San Francisco","5","no"
"001i000000NuRR2","2",2,"","2011-2012","Berkeley Sunday","4","no"
"001i000000NuRVe","4",4,"","2011-2012","Family concert","3","no"
"001i000000NuRJB","GA",2,"","2011-2012","Family concert","3","no"
"001i000000oks1v","2",2,"Philharmonia website","2013-2014","San Francisco","1","no"
"001i000000NuPrc","4",1,"Word of mouth","2013-2014","Berkeley Saturday","1","no"
"001i000000NuRUV","",1,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuOXG","Youth",12,"","2011-2012","Family concert","3","yes"
"001i000000NuQmd","2",2,"","2012-2013","Berkeley Saturday","6","no"
"001i000000NuRUv","4",1,"","2010-2011","Berkeley Saturday","8","no"
"001i000000NuPxx","3",1,"","2012-2013","San Francisco","5","no"
"001i000000NuQOP","1",2,"","2010-2011","San Francisco","7","no"
"001i000000NuRLi","4",1,"","2011-2012","San Francisco","7","no"
"001i000000NuQjJ","4",2,"Word of mouth","2013-2014","Peninsula","2","no"
"001i000000NuRWB","2",2,"","2011-2012","San Francisco","7","yes"
"001i000000NuQlD","2",3,"","2011-2012","Berkeley Saturday","6","no"
"001i000000NuRQT","4",2,"","2012-2013","Berkeley Sunday","3","no"
"001i000000NuRP7","3",2,"","2012-2013","Peninsula","3","no"
"001i000000oks18","4",2,"Web search","2013-2014","Peninsula","2","no"
"001i000000oks36","4",2,"San Francisco Chronicle","2013-2014","Berkeley Sunday","1","no"
"001i000000NuRPK","4",3,"","2011-2012","Berkeley Sunday","7","no"
