"account.id","season","package","no.seats","location","section","price.level","total","multiple.subs"
"001i000000NuOVK","1998-1999","Full",1,"Peninsula","Orchestra","2",1,"no"
"001i000000NuOlh","2000-2001","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuNW2","1996-1997","Full",1,"Contra Costa","Balcony","4",1,"no"
"001i000000NuObJ","1998-1999","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000NuQWx","2007-2008","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuQMV","2010-2011","Full",1,"Peninsula","Orchestra","1",1,"no"
"001i000000LhyYl","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000LhyTv","2011-2012","Full",1,"Berkeley Sunday","Orchestra","1",1,"no"
"001i000000LhyTJ","1998-1999","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000NuNnq","2007-2008","Full",2,"Berkeley Saturday","Premium Orchestra","1",2,"no"
"001i000000LhycS","2009-2010","Full",1,"Peninsula","Premium Orchestra","1",1,"no"
"001i000000LhyVk","2006-2007","Trio",1,"San Francisco","Dress Circle","3",0.5,"no"
"001i000000LhySd","2007-2008","Quartet CC",2,"Contra Costa","Premium Orchestra","1",1,"no"
"001i000000NuNXs","1994-1995","Full",4,"Contra Costa","Orchestra","2",4,"no"
"001i000000NuOMS","1997-1998","Full",1,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000LhySN","2011-2012","Full",1,"Peninsula","Orchestra","1",1,"no"
"001i000000LhyW3","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000LhyR3","1998-1999","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000NuRUn","1993-1994","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuNsC","1995-1996","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000Lhyds","2013-2014","Full",2,"San Francisco",NA,"2",2,"no"
"001i000000NuQWs","2007-2008","Quartet CC",3,"Contra Costa","Orchestra","2",1.5,"no"
"001i000000LhyS3","2013-2014","Full",2,"San Francisco",NA,"4",2,"yes"
"001i000000LhyWZ","1998-1999","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuQdZ","2014-2015","Full",2,"Peninsula",NA,"0",2,"yes"
"001i000000NuNwL","1996-1997","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000LhyRo","2013-2014","Full",2,"Berkeley Sunday",NA,"0",2,"no"
"001i000000NuO9c","1993-1994","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhySk","1999-2000","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhySr","2009-2010","Trio",2,"Peninsula","Premium Orchestra","1",1,"no"
"001i000000NuOit","2001-2002","Quartet CC",2,"Contra Costa","Orchestra","2",1,"no"
"001i000000LhyQK","2013-2014","Full",4,"Berkeley Saturday",NA,"0",4,"no"
"001i000000NuO9Y","1993-1994","Full",1,"Berkeley Saturday","Orchestra","2",1,"no"
"001i000000LhyZz","2001-2002","Full",2,"Orange County","Orchestra","2",2,"no"
"001i000000NuOKl","1995-1996","Full",1,"Peninsula","Balcony","4",1,"no"
"001i000000NuR7i","2012-2013","Trio A",2,"Peninsula","Orchestra","3",1,"no"
"001i000000LhyXl","2013-2014","Trio B",1,"Peninsula",NA,"1",0.5,"no"
"001i000000Lhyay","2005-2006","Full",2,"Berkeley Sunday","Orchestra Front","1",2,"no"
"001i000000NuPTp","2001-2002","Full",2,"Orange County","Balcony","4",2,"no"
"001i000000LhydX","2007-2008","Full",1,"Berkeley Sunday","Balcony Front","3",1,"no"
"001i000000LhyWb","2003-2004","Full",1,"Berkeley Saturday","",NA,1,"no"
"001i000000LhyTh","2007-2008","Full",2,"Berkeley Sunday","Balcony Rear","4",2,"no"
"001i000000NuQka","2007-2008","Full",2,"Berkeley Sunday","Premium Orchestra","1",2,"no"
"001i000000NuNyQ","1995-1996","Full",2,"Berkeley Sunday","Balcony Rear","4",2,"no"
"001i000000LhyUE","2006-2007","Quartet",2,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000NuOcM","1997-1998","Quartet",1,"Peninsula","Orchestra","2",0.5,"no"
"001i000000NuQ4t","2005-2006","Trio",1,"Berkeley Saturday","Balcony Rear","4",0.5,"no"
"001i000000NuOHH","1994-1995","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000NuNvU","2010-2011","Full",2,"Peninsula","Orchestra","1",2,"no"
"001i000000LhycO","2013-2014","Trio A",2,"San Francisco",NA,"0",1,"no"
"001i000000NuO9G","1994-1995","Full",1,"San Francisco","Orchestra","2",1,"no"
"001i000000LhyRc","2011-2012","Full",2,"Peninsula","Orchestra","1",2,"no"
"001i000000LhyYI","2006-2007","Quartet",1,"Berkeley Sunday","Balcony Front","3",0.5,"no"
"001i000000NuOL8","1995-1996","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyTm","1998-1999","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000NuOlE","1997-1998","Quartet",1,"Peninsula","Orchestra","2",0.5,"no"
"001i000000NuR8x","2007-2008","Trio",2,"Peninsula","Premium Orchestra","1",1,"no"
"001i000000NuOwk","1997-1998","Quartet",2,"San Francisco","Orchestra","2",1,"no"
"001i000000NuNu1","1993-1994","Full",2,"Peninsula","Balcony","4",2,"no"
"001i000000NuPHp","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuNyD","2005-2006","Quartet",2,"San Francisco","Orchestra Front","1",1,"no"
"001i000000LhyS8","2000-2001","Full",3,"Berkeley Sunday","Balcony Front","3",3,"no"
"001i000000NuNig","1995-1996","Quartet",2,"San Francisco","Dress Circle","3",1,"no"
"001i000000NuNmR","1998-1999","Full",2,"Berkeley Sunday","Balcony Rear","4",2,"no"
"001i000000NuP4K","2000-2001","Full",1,"Berkeley Saturday","Balcony Rear","4",1,"no"
"001i000000NuOWa","2000-2001","Quartet CC",1,"Contra Costa","Orchestra","2",0.5,"no"
"001i000000NuP1m","2009-2010","Trio",4,"San Francisco","Dress Circle","3",2,"no"
"001i000000NuO7j","1995-1996","Full",1,"Berkeley Sunday","Balcony Front","3",1,"no"
"001i000000LhyRc","2005-2006","Full",2,"Peninsula","Orchestra Front","1",2,"no"
"001i000000NuOJN","2000-2001","Trio",2,"San Francisco","Dress Circle","3",1,"no"
"001i000000NuONA","1993-1994","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000NuOM0","2010-2011","Full",2,"Peninsula","Orchestra","1",2,"no"
"001i000000NuO9Z","1993-1994","Quartet",2,"Berkeley Saturday","Balcony Front","3",1,"no"
"001i000000NuODn","1998-1999","Quartet",2,"Berkeley Saturday","Balcony Rear","4",1,"no"
"001i000000NuOUO","1998-1999","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000LhySs","2004-2005","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000LhyQg","1996-1997","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuPfC","2003-2004","Trio",1,"Berkeley Saturday","",NA,0.5,"no"
"001i000000NuNXw","2000-2001","Quartet",2,"Berkeley Saturday","Orchestra","2",1,"no"
"001i000000NuNyT","1999-2000","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000LhyWE","2013-2014","Full",2,"Berkeley Sunday",NA,"1",2,"no"
"001i000000NuNVb","1993-1994","Full",2,"Santa Rosa","Balcony","4",2,"no"
"001i000000NuNYT","1993-1994","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000Lhydp","2011-2012","Quartet",2,"Peninsula","Orchestra","1",1,"no"
"001i000000NuNmi","1997-1998","Quartet",2,"Berkeley Sunday","Balcony Front","3",1,"no"
"001i000000NuNur","2008-2009","Quartet CC",2,"Contra Costa","Premium Orchestra","1",1,"no"
"001i000000LhyYA","2003-2004","Full",1,"Berkeley Saturday","",NA,1,"no"
"001i000000NuOa9","1997-1998","Quartet",2,"Peninsula","Orchestra","2",1,"no"
"001i000000LhyPU","1995-1996","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuP5b","2000-2001","Full",2,"Orange County","Orchestra","2",2,"no"
"001i000000NuOrU","1997-1998","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuOa0","2004-2005","Full",1,"Berkeley Saturday","",NA,1,"no"
"001i000000NuPf8","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuNkA","2011-2012","Quartet",2,"Peninsula","Orchestra","1",1,"no"
"001i000000NuOEl","1998-1999","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000LhydX","1995-1996","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000LhyPp","2013-2014","Full",2,"Berkeley Saturday",NA,"4",2,"no"
"001i000000NuPC7","2000-2001","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000LhyUF","2005-2006","Full",2,"San Francisco","Orchestra Front","1",2,"no"
"001i000000Lhybf","2005-2006","Full",1,"Berkeley Sunday","Orchestra Front","1",1,"no"
"001i000000LhyX8","2009-2010","Quartet CC",1,"Contra Costa","Premium Orchestra","1",0.5,"no"
"001i000000NuOp5","2000-2001","Quartet CC",2,"Contra Costa","Orchestra","2",1,"no"
"001i000000NuNVy","1997-1998","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyaO","2011-2012","Full",2,"Berkeley Saturday","Orchestra","1",2,"no"
"001i000000Lhyd9","2013-2014","Full",2,"San Francisco",NA,"0",2,"no"
"001i000000LhySb","2014-2015","Trio A",2,"San Francisco",NA,"0",1,"no"
"001i000000NuNdX","2011-2012","Quartet",1,"Berkeley Sunday","Orchestra","3",0.5,"no"
"001i000000Lhyat","2011-2012","Trio",2,"San Francisco","Orchestra","0",1,"no"
"001i000000NuOnk","2001-2002","Full",3,"Berkeley Sunday","Orchestra","2",3,"no"
"001i000000NuPfp","2005-2006","Trio",2,"Peninsula","Orchestra Front","1",1,"no"
"001i000000LhyY3","2004-2005","Full",1,"Peninsula","",NA,1,"no"
"001i000000NuO8T","2001-2002","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000NuNiG","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000LhyaB","2005-2006","Trio",2,"San Francisco","Balcony","4",1,"no"
"001i000000LhyV1","2012-2013","Full",2,"Berkeley Saturday","Orchestra","1",2,"no"
"001i000000NuOAa","2002-2003","Full",1,"Peninsula","",NA,1,"no"
"001i000000NuOC2","1996-1997","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000NuOL0","2000-2001","Trio",2,"Peninsula","Orchestra","2",1,"no"
"001i000000LhyPW","2010-2011","Quartet B",2,"Berkeley Sunday","Orchestra","0",1,"no"
"001i000000LhyRb","2003-2004","Full",1,"Peninsula","",NA,1,"no"
"001i000000NuOes","2004-2005","Full",1,"Berkeley Saturday","",NA,1,"no"
"001i000000NuO5m","2007-2008","Full",2,"Berkeley Sunday","Premium Orchestra","1",2,"no"
"001i000000NuNz7","2008-2009","Full",2,"Berkeley Saturday","Premium Orchestra","1",2,"no"
"001i000000LhyXl","2008-2009","Full",1,"Peninsula","Premium Orchestra","1",1,"no"
"001i000000NuNsN","1997-1998","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000Lhyd4","2011-2012","Full",1,"San Francisco","Orchestra","0",1,"no"
"001i000000NuPA9","1999-2000","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyTr","1993-1994","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuOp7","1996-1997","Full",2,"Santa Rosa","Orchestra","2",2,"no"
"001i000000NuOud","1998-1999","Full",1,"Berkeley Saturday","Balcony Front","3",1,"no"
"001i000000NuQWw","2007-2008","Quartet CC",1,"Contra Costa","Gallery","4",0.5,"no"
"001i000000LhyRr","1994-1995","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000LhyQ9","2008-2009","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000LhyWY","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuP4S","2001-2002","Quartet CC",1,"Contra Costa","Balcony","4",0.5,"no"
"001i000000NuO6j","1995-1996","Full",1,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000NuOSQ","2001-2002","Full",1,"San Francisco","Box","1",1,"no"
"001i000000NuO9D","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuOEW","1996-1997","Full",2,"Santa Rosa","Orchestra","2",2,"no"
"001i000000Lhyda","2010-2011","Quartet B",2,"Berkeley Saturday","Orchestra","1",1,"no"
"001i000000LhyUr","2012-2013","Trio A",2,"Berkeley Sunday","Balcony Front","4",1,"no"
"001i000000LhySi","2003-2004","Trio",1,"Berkeley Sunday","",NA,0.5,"no"
"001i000000NuOrz","2001-2002","Quartet CC",2,"Contra Costa","Orchestra","2",1,"no"
"001i000000NuPJd","2009-2010","Trio",2,"Berkeley Saturday","Premium Orchestra","1",1,"no"
"001i000000LhyPu","1995-1996","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyVx","1998-1999","Quartet",2,"San Francisco","Orchestra","2",1,"no"
"001i000000LhyRT","1999-2000","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000NuO8P","2001-2002","Full",1,"Peninsula","Balcony","4",1,"no"
"001i000000NuNY2","1993-1994","Full",1,"Berkeley Saturday","Balcony Front","3",1,"no"
"001i000000NuOLY","2005-2006","Quartet CC",2,"Contra Costa","Orchestra Front","1",1,"no"
"001i000000NuNyb","1993-1994","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuP9M","2000-2001","Full",2,"Orange County","Orchestra Rear","2",2,"no"
"001i000000NuOrz","1998-1999","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhybZ","2007-2008","Full",2,"San Francisco","Premium Orchestra","1",2,"no"
"001i000000LhyR0","2009-2010","Full",2,"Peninsula","Premium Orchestra","1",2,"no"
"001i000000NuO1D","1998-1999","Full",2,"San Francisco","Dress Circle","3",2,"no"
"001i000000LhyQ9","2005-2006","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000NuQBX","2008-2009","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuPdw","2010-2011","Quartet A",1,"Berkeley Sunday","Orchestra","0",0.5,"no"
"001i000000NuOcs","2007-2008","Quartet",1,"Berkeley Saturday","Balcony Front","3",0.5,"no"
"001i000000NuOyH","1999-2000","Full",1,"Orange County","Balcony","4",1,"no"
"001i000000NuR68","2011-2012","Trio",2,"San Francisco","Orchestra","4",1,"no"
"001i000000NuPAe","1999-2000","Full",1,"San Francisco","Balcony","4",1,"no"
"001i000000Lhydz","1994-1995","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000NuNvz","1997-1998","Full",1,"Santa Rosa","Orchestra","2",1,"no"
"001i000000LhyW9","2013-2014","Trio B",2,"Berkeley Saturday",NA,"0",1,"no"
"001i000000NuOE8","2000-2001","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000NuP0p","2004-2005","Full",1,"Peninsula","",NA,1,"no"
"001i000000NuO81","1993-1994","Full",1,"San Francisco","Orchestra","2",1,"no"
"001i000000NuNt1","1994-1995","Full",1,"Santa Rosa","Orchestra","2",1,"no"
"001i000000NuNzf","1997-1998","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000NuOTv","2000-2001","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuNvh","2000-2001","Quartet CC",2,"Contra Costa","Balcony","4",1,"no"
"001i000000NuO8k","1997-1998","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000NuOhh","2000-2001","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuOL8","2010-2011","Quartet CC",1,"Contra Costa","Orchestra","0",0.5,"no"
"001i000000LhySU","1997-1998","Full",1,"Berkeley Saturday","Orchestra","2",1,"no"
"001i000000NuOtE","2002-2003","Full",1,"Peninsula","",NA,1,"no"
"001i000000NuRTp","1995-1996","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyQm","2013-2014","Full",2,"Berkeley Sunday",NA,"2",2,"no"
"001i000000NuOj7","1995-1996","Full",1,"San Francisco","Dress Circle","3",1,"no"
"001i000000LhyQf","1999-2000","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuNYI","1994-1995","Full",1,"Peninsula","Orchestra","2",1,"no"
"001i000000NuO12","1993-1994","Full",4,"Santa Rosa","Orchestra","2",4,"no"
"001i000000NuNVf","1997-1998","Full",1,"Berkeley Saturday","Orchestra","2",1,"no"
"001i000000NuOEl","2000-2001","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuPRl","2012-2013","Trio A",2,"Berkeley Saturday","Balcony Front","2",1,"no"
"001i000000NuNUh","2012-2013","Full",1,"San Francisco","Orchestra","0",1,"no"
"001i000000LhyRl","2012-2013","Full",2,"Berkeley Sunday","Orchestra","0",2,"no"
"001i000000NuO3w","1996-1997","Quartet",2,"Berkeley Saturday","Balcony Front","3",1,"no"
"001i000000NuNVI","1993-1994","Full",4,"Berkeley Sunday","Balcony Front","3",4,"no"
"001i000000LhyUO","2004-2005","Quartet",1,"San Francisco","",NA,0.5,"no"
"001i000000NuOgP","2007-2008","Quartet",1,"Berkeley Sunday","Premium Orchestra","1",0.5,"no"
"001i000000NuOdd","2005-2006","Trio",2,"San Francisco","Dress Circle","3",1,"no"
"001i000000LhyZy","1993-1994","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000LhyaG","2008-2009","Full",1,"Peninsula","Premium Orchestra","1",1,"no"
"001i000000LhySM","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuNsw","2001-2002","Full",1,"Peninsula","Orchestra","2",1,"no"
"001i000000LhybZ","2001-2002","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuNyN","1997-1998","Full",2,"San Francisco","Dress Circle","3",2,"no"
"001i000000NuO5r","2009-2010","Full",1,"San Francisco","Premium Orchestra","1",1,"no"
"001i000000LhyS5","2010-2011","Full",2,"Berkeley Sunday","Balcony Front","2",2,"no"
"001i000000NuO1X","2001-2002","Quartet CC",1,"Contra Costa","Orchestra","2",0.5,"no"
"001i000000NuOVZ","1997-1998","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000NuNxf","1995-1996","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000NuNuE","2001-2002","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000LhyWI","1993-1994","Quartet",2,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000NuOIe","2007-2008","Full",1,"San Francisco","Premium Orchestra","1",1,"no"
"001i000000LhyQU","1996-1997","Full",5,"Peninsula","Orchestra","2",5,"no"
"001i000000NuONR","2002-2003","Full",1,"San Francisco","",NA,1,"no"
"001i000000LhybW","2007-2008","Full",2,"Berkeley Saturday","Balcony Front","3",2,"no"
"001i000000NuP2C","2000-2001","Full",1,"San Francisco","Dress Circle","3",1,"no"
"001i000000NuOV2","1997-1998","Quartet",3,"Berkeley Sunday","Orchestra","2",1.5,"no"
"001i000000LhyPj","2012-2013","Trio B",2,"Peninsula","Orchestra","2",1,"no"
"001i000000Lhydh","2007-2008","Trio",1,"Berkeley Saturday","Orchestra","2",0.5,"no"
"001i000000NuPpj","1998-1999","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000LhyRa","1993-1994","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000NuNra","2000-2001","Full",2,"San Francisco","Box","1",2,"no"
"001i000000NuODo","1997-1998","Full",1,"Berkeley Sunday","Balcony Front","3",1,"no"
"001i000000NuNiF","1996-1997","Quartet",2,"San Francisco","Dress Circle","3",1,"no"
"001i000000NuOZ1","1995-1996","Quartet",1,"Peninsula","Orchestra","2",0.5,"no"
"001i000000NuODo","1994-1995","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000NuOXB","1998-1999","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000NuOCl","2011-2012","Quartet",2,"Berkeley Sunday","Balcony Front","3",1,"no"
"001i000000Lhydm","2013-2014","Trio B",2,"Peninsula",NA,"0",1,"no"
"001i000000NuPfc","2006-2007","Full",1,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000NuNqP","1996-1997","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000LhySV","2012-2013","Full",2,"Berkeley Sunday","Orchestra","3",2,"no"
"001i000000NuQIh","2006-2007","Quartet",1,"San Francisco","Orchestra","2",0.5,"no"
"001i000000NuOvE","1999-2000","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000Lhyd3","1997-1998","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuOsY","1998-1999","Quartet",1,"Berkeley Sunday","Orchestra","2",0.5,"no"
"001i000000LhyYb","2008-2009","Full",1,"San Francisco","Premium Orchestra","1",1,"no"
"001i000000NuOMP","1993-1994","Full",2,"San Francisco","Balcony","4",2,"no"
"001i000000NuP2j","1998-1999","Full",2,"San Francisco","Dress Circle","3",2,"no"
"001i000000LhyX2","2009-2010","Full",2,"Peninsula","Premium Orchestra","1",2,"no"
"001i000000NuO5F","1993-1994","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuOW1","2000-2001","Full",2,"San Francisco","Balcony","4",2,"no"
"001i000000LhyVB","2014-2015","Full",2,"Berkeley Sunday",NA,"4",2,"no"
"001i000000NuOWy","1995-1996","Full",2,"Contra Costa","Orchestra","2",2,"no"
"001i000000LhyTF","2010-2011","Full",2,"Berkeley Saturday","Orchestra","1",2,"no"
"001i000000LhySI","2003-2004","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuOKa","1997-1998","Full",2,"Peninsula","Orchestra","2",2,"no"
"001i000000NuR67","2011-2012","Trio",2,"Berkeley Saturday","Orchestra","0",1,"no"
"001i000000NuO30","1993-1994","Full",1,"Berkeley Sunday","Orchestra","2",1,"no"
"001i000000NuNav","1995-1996","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000LhyS2","2012-2013","Full",2,"Berkeley Sunday","Orchestra","0",2,"no"
"001i000000NuO8E","1995-1996","Full",2,"San Francisco","Orchestra","2",2,"no"
"001i000000NuNur","2002-2003","Full",1,"Berkeley Sunday","",NA,1,"no"
"001i000000NuO4P","1994-1995","Full",2,"Berkeley Sunday","Orchestra","2",2,"no"
"001i000000Lhya6","2009-2010","Full",2,"Berkeley Sunday","Balcony Front","3",2,"no"
"001i000000LhyQg","2001-2002","Full",2,"Berkeley Saturday","Orchestra","2",2,"no"
"001i000000Lhybk","2013-2014","Full",1,"Berkeley Saturday",NA,"2",1,"no"
"001i000000LhybC","1997-1998","Full",1,"San Francisco","Orchestra","2",1,"no"
"001i000000NuOD1","1998-1999","Full",3,"San Francisco","Orchestra","2",3,"no"
