"account.id","2010-2011","2011-2012","2012-2013","2013-2014","2014-2015","L2010-2011","L2011-2012","L2012-2013","L2013-2014","L2014-2015"
"001i000000LhyQy","001i000000LhyQy2010-2011","001i000000LhyQy2011-2012","001i000000LhyQy2012-2013","001i000000LhyQy2013-2014","001i000000LhyQy2014-2015",1,1,1,1,0
"001i000000LhyQz","001i000000LhyQz2010-2011","001i000000LhyQz2011-2012","001i000000LhyQz2012-2013","001i000000LhyQz2013-2014","001i000000LhyQz2014-2015",0,0,0,1,0
"001i000000LhyR0","001i000000LhyR02010-2011","001i000000LhyR02011-2012","001i000000LhyR02012-2013","001i000000LhyR02013-2014","001i000000LhyR02014-2015",1,1,1,1,1
"001i000000LhyR1","001i000000LhyR12010-2011","001i000000LhyR12011-2012","001i000000LhyR12012-2013","001i000000LhyR12013-2014","001i000000LhyR12014-2015",1,1,1,1,0
"001i000000LhyR2","001i000000LhyR22010-2011","001i000000LhyR22011-2012","001i000000LhyR22012-2013","001i000000LhyR22013-2014","001i000000LhyR22014-2015",1,1,1,1,1
"001i000000LhyR3","001i000000LhyR32010-2011","001i000000LhyR32011-2012","001i000000LhyR32012-2013","001i000000LhyR32013-2014","001i000000LhyR32014-2015",1,1,1,1,0
"001i000000LhyR4","001i000000LhyR42010-2011","001i000000LhyR42011-2012","001i000000LhyR42012-2013","001i000000LhyR42013-2014","001i000000LhyR42014-2015",1,1,1,1,0
"001i000000LhyR5","001i000000LhyR52010-2011","001i000000LhyR52011-2012","001i000000LhyR52012-2013","001i000000LhyR52013-2014","001i000000LhyR52014-2015",0,1,1,1,0
"001i000000LhyR6","001i000000LhyR62010-2011","001i000000LhyR62011-2012","001i000000LhyR62012-2013","001i000000LhyR62013-2014","001i000000LhyR62014-2015",1,1,1,1,1
"001i000000LhyR7","001i000000LhyR72010-2011","001i000000LhyR72011-2012","001i000000LhyR72012-2013","001i000000LhyR72013-2014","001i000000LhyR72014-2015",1,1,1,1,1
"001i000000LhyR8","001i000000LhyR82010-2011","001i000000LhyR82011-2012","001i000000LhyR82012-2013","001i000000LhyR82013-2014","001i000000LhyR82014-2015",1,1,1,1,1
"001i000000LhyR9","001i000000LhyR92010-2011","001i000000LhyR92011-2012","001i000000LhyR92012-2013","001i000000LhyR92013-2014","001i000000LhyR92014-2015",1,1,1,1,0
"001i000000LhyRA","001i000000LhyRA2010-2011","001i000000LhyRA2011-2012","001i000000LhyRA2012-2013","001i000000LhyRA2013-2014","001i000000LhyRA2014-2015",1,1,1,1,1
"001i000000LhyRB","001i000000LhyRB2010-2011","001i000000LhyRB2011-2012","001i000000LhyRB2012-2013","001i000000LhyRB2013-2014","001i000000LhyRB2014-2015",1,1,1,1,0
"001i000000LhyRC","001i000000LhyRC2010-2011","001i000000LhyRC2011-2012","001i000000LhyRC2012-2013","001i000000LhyRC2013-2014","001i000000LhyRC2014-2015",1,1,1,1,0
"001i000000LhyRD","001i000000LhyRD2010-2011","001i000000LhyRD2011-2012","001i000000LhyRD2012-2013","001i000000LhyRD2013-2014","001i000000LhyRD2014-2015",0,1,1,1,0
"001i000000LhyRE","001i000000LhyRE2010-2011","001i000000LhyRE2011-2012","001i000000LhyRE2012-2013","001i000000LhyRE2013-2014","001i000000LhyRE2014-2015",1,1,1,1,1
"001i000000LhyRF","001i000000LhyRF2010-2011","001i000000LhyRF2011-2012","001i000000LhyRF2012-2013","001i000000LhyRF2013-2014","001i000000LhyRF2014-2015",0,0,0,1,0
"001i000000LhyRG","001i000000LhyRG2010-2011","001i000000LhyRG2011-2012","001i000000LhyRG2012-2013","001i000000LhyRG2013-2014","001i000000LhyRG2014-2015",1,1,1,1,0
"001i000000LhyRH","001i000000LhyRH2010-2011","001i000000LhyRH2011-2012","001i000000LhyRH2012-2013","001i000000LhyRH2013-2014","001i000000LhyRH2014-2015",1,1,1,1,1
"001i000000LhyRI","001i000000LhyRI2010-2011","001i000000LhyRI2011-2012","001i000000LhyRI2012-2013","001i000000LhyRI2013-2014","001i000000LhyRI2014-2015",1,1,1,1,0
"001i000000LhyRJ","001i000000LhyRJ2010-2011","001i000000LhyRJ2011-2012","001i000000LhyRJ2012-2013","001i000000LhyRJ2013-2014","001i000000LhyRJ2014-2015",1,1,1,1,0
"001i000000LhyRK","001i000000LhyRK2010-2011","001i000000LhyRK2011-2012","001i000000LhyRK2012-2013","001i000000LhyRK2013-2014","001i000000LhyRK2014-2015",1,1,1,1,0
"001i000000LhyRL","001i000000LhyRL2010-2011","001i000000LhyRL2011-2012","001i000000LhyRL2012-2013","001i000000LhyRL2013-2014","001i000000LhyRL2014-2015",1,1,1,1,0
"001i000000LhyRM","001i000000LhyRM2010-2011","001i000000LhyRM2011-2012","001i000000LhyRM2012-2013","001i000000LhyRM2013-2014","001i000000LhyRM2014-2015",1,1,1,1,1
"001i000000LhyRN","001i000000LhyRN2010-2011","001i000000LhyRN2011-2012","001i000000LhyRN2012-2013","001i000000LhyRN2013-2014","001i000000LhyRN2014-2015",1,1,1,1,1
"001i000000LhyRO","001i000000LhyRO2010-2011","001i000000LhyRO2011-2012","001i000000LhyRO2012-2013","001i000000LhyRO2013-2014","001i000000LhyRO2014-2015",1,1,1,1,0
"001i000000LhyRP","001i000000LhyRP2010-2011","001i000000LhyRP2011-2012","001i000000LhyRP2012-2013","001i000000LhyRP2013-2014","001i000000LhyRP2014-2015",0,0,0,1,0
"001i000000LhyRQ","001i000000LhyRQ2010-2011","001i000000LhyRQ2011-2012","001i000000LhyRQ2012-2013","001i000000LhyRQ2013-2014","001i000000LhyRQ2014-2015",1,1,1,1,0
"001i000000LhyRR","001i000000LhyRR2010-2011","001i000000LhyRR2011-2012","001i000000LhyRR2012-2013","001i000000LhyRR2013-2014","001i000000LhyRR2014-2015",1,1,1,1,0
"001i000000LhyRS","001i000000LhyRS2010-2011","001i000000LhyRS2011-2012","001i000000LhyRS2012-2013","001i000000LhyRS2013-2014","001i000000LhyRS2014-2015",1,1,1,1,1
"001i000000LhyRT","001i000000LhyRT2010-2011","001i000000LhyRT2011-2012","001i000000LhyRT2012-2013","001i000000LhyRT2013-2014","001i000000LhyRT2014-2015",1,1,1,1,0
"001i000000LhyRU","001i000000LhyRU2010-2011","001i000000LhyRU2011-2012","001i000000LhyRU2012-2013","001i000000LhyRU2013-2014","001i000000LhyRU2014-2015",1,1,1,1,0
"001i000000LhyRV","001i000000LhyRV2010-2011","001i000000LhyRV2011-2012","001i000000LhyRV2012-2013","001i000000LhyRV2013-2014","001i000000LhyRV2014-2015",1,1,1,1,1
"001i000000LhyRW","001i000000LhyRW2010-2011","001i000000LhyRW2011-2012","001i000000LhyRW2012-2013","001i000000LhyRW2013-2014","001i000000LhyRW2014-2015",1,1,1,1,0
