season,concert.name,set,who,what
2011-2012,Marion Verbruggen & the Italian Baroque Recorder,3,"Ottavio Dantone, conductor
Marion Verbruggen, recorder","ARCANGELO CORELLI (1653-1713) 
 Concerto Grosso in F major, Op. 6 No. 2
GIOVANNI LORENZO GREGORI (1663-1745)
 Concerto Grosso in A minor, Op. 2 No. 6
FRANCESCO GEMINIANI (1687-1762)
 Concerto Grosso in D minor, Op. 3 No. 4
ANTONIO VIVALDI (1678-1741)
 Concerto for Alto Recorder in F major, “La tempesta di mare,” RV 433
INTERMISSION
GIUSEPPE SAMMARTINI (1695-1750
 Concerto for Soprano Recorder in F major
ALESSANDRO SCARLATTI (1660-1725)
 Concerto Grosso No. 4 in G minor
VIVALDI
 Concerto for Strings in D minor, RV 128
CORELLI
 Concerto Grosso in D major, Op. 6 No. 4"
2011-2012,Bach's Mass in B Minor,4,"Nicholas McGegan, conductor
Sherezade Panthaki, soprano
Daniel Taylor, countertenor
Thomas Cooley, tenor
Nathaniel Watson, baritone
Philharmonia Chorale, Bruce Lamott, director","JOHANN SEBASTIAN BACH (1685-1750)
   Mass in B minor, BWV 232"
2011-2012,Richard Egarr: Masters of the English Baroque,5,"Richard Egarr, harpsichord and conductor","HANDEL: Symphony from Saul
LOCKE: Music from The Tempest
PURCELL: Suite from The Fairy Queen
ARNE: Concerto for Harpsichord No. 5 in G minor
LAWES: String Fantasy à 6
HANDEL: Concerto Grosso Op. 3, No. 5 in D minor, HWV 316
HANDEL: “Arrival of the Queen of Sheba” from Solomon"
2011-2012,Schumann's Cello Concerto,6,"Nicholas McGegan, conductor
Steven Isserlis, violoncello","FELIX MENDELSSOHN
(1809-1847)
The Fair Melusine, Op. 32
ROBERT SCHUMANN
(1810-1856)
Concerto for Violoncello in A minor, Op. 129
Nicht zu schnell
Langsam
Sehr lebhaft
Steven Isserlis, violoncello
JOHANNES BRAHMS
(1833-1897)
Serenade No. 2 in A major, Op. 16
Allegro moderato
Scherzo
Adagio non troppo
Quasi menuetto
Rondo"
2011-2012,Alexander's Feast,7,"Nicholas McGegan, conductor
Dominique Labelle, soprano
Dann Coakwell, tenor
Philip Cutlip, baritone
Philharmonia Chorale, Bruce Lamott, director",HANDEL: Alexander’s Feast
2011-2012,Mozart and Haydn,1,"Nicholas McGegan, conductor
R.J. Kelley, horn","WOLFGANG AMADEUS MOZART (1756-1791)
Symphony No. 38 in D major, K. 504 “Prague”
MOZART
“Concerto pasticcio” for Horn in E-flat major, K. 370b/495/371
R. J. Kelley, horn
INTERMISSION
FRANZ IGNAZ BECK (1734 - 1809)
Overture from La mort d’Orphée
JOSEPH HAYDN (1732-1809)
Symphony No. 98 in B-flat major, H. I.98"
2012-2013,Beethoven's Fourths,2,"Nicholas McGegan, conductor
Emanuel Ax, fortepiano
Philharmonia Baroque Orchestra","Beethoven’s Fourths
BEETHOVEN Piano Concerto No. 4 in G major, Op. 58
BEETHOVEN 12 Contredanses for Orchestra, WoO 14
BEETHOVEN Symphony No. 4 in B-flat major, Op. 60"
2012-2013,A Bach Christmas,3,"Masaaki Suzuki, conductor
Sherezade Panthaki, soprano
Claire Kelm, soprano
Fabiana González, alto
Dann Coakwell, tenor
Dashon Burton, bass-baritone
Philharmonia Chorale – Bruce Lamott, director","J.S. BACH
Orchestral Suite No. 3 in D major, BWV 1068
Cantata No. 63 Christen, ätzet diesen Tag, BWV 63
Magnificat in E-flat major, BWV 243a"
2012-2013,Quintessence of Classical Style,4,"Nicholas McGegan, conductor
Marc Schachman, oboe
Danny Bond, bassoon","FRANZ JOSEPH HAYDN
Symphony No. 44 in E minor “Trauer”, Hob.I:44
J.C. BACH
Sinfonia Concertante for Oboe and Bassoon in F major (C 38)
J.C. BACH
Symphony No. 6 in G minor, Op. 6
WOLFGANG AMADEUS MOZART
Symphony No. 29 in A major, K. 201"
2012-2013,The Italian Violin,5,"Rachel Podger, violin and leader
Elizabeth Blumenstock, violin
Katherine Kyme, violin
Carla Moore, violin","ANTONIO VIVALDI
Concerto for Violin in A major, RV 348
from La cetra, Op. 9 No. 2
Concerto for Two Violins in A major, RV 519
from L’estro armonico, Op. 3 No. 5
ARCANGELO CORELLI
Concerto Grosso No. 1 in D major, Op. 6
GIOVANNI MOSSI
Concerto for Four Violins in G minor, Op. 4 No. 12
GIOVANNI BATTISTA PERGOLESI
Concerto for Violin in B-flat major
PIETRO LOCATELLI
Concerto for Four Violins in F major No. 12, Op. 4"
2012-2013,Heroic Theseus,6,"Nicholas McGegan, conductor
Amanda Forsythe, soprano (Teseo)
Dominique Labelle, soprano (Medea)Amy Freston, soprano (Agilea)
Céline Ricci, soprano (Clizia)
Robin Blaze, countertenor (Arcane)
Drew Minter, countertenor (Egeo)","GEORGE FRIDERIC HANDEL
Teseo, HWV 9"
2013-2014,Pergolesi in Naples,1,"Nicholas McGegan, conductor
David Daniels, countertenor
Carolyn Sampson, soprano","HANDEL
Duet “Io t’abbraccio” from Rodelinda
Aria “Dove sei” from Rodelinda
Aria “Da tempeste” from Giulio Cesare
Duet “Caro / Bella” from Giulio Cesare
DURANTE
Concerto Grosso in G Minor
PERGOLESI
Stabat Mater
Sinfonia from L’Olimpiade"
2013-2014,Music from Imperial Saint Petersburg,2,"Steven Fox, conductor
Anna Dennis, soprano
Tanya Tomkins, cello","BEREZOVSKY
Symphony in C major
FACIUS
Concerto for Violoncello in D minor, Op. 3
FOMIN
Dance of the Blessed Spirits from Orpheus
BORTNIANSKY
Suite from Le fils rival
Suite from Alcide
Sinfonia Concertante
GLINKA
Three Arias (arr. Rimsky-Korsakov)"
2013-2014,Solomon in London,3,"Nicholas McGegan, conductor
Yulia Van Doren, soprano
Thomas Cooley, tenor
Philharmonia Baroque Orchestra
Philharmonia Chorale – Bruce Lamott, director","STANLEY
Concerto in B minor, Op. 2, No. 2
CROFT
The Burial Service
BOYCE
Solomon, a serenata"
2013-2014,CPE Bach and Haydn: Berlin and Vienna,4,"Nicholas McGegan, conductor
Robert Levin, harpsichord
Ya-Fei Chuang, fortepiano
Philharmonia Baroque Orchestra
","CPE BACH
Symphony in E minor, Wq 178
Concerto for Fortepiano and Harpsichord in E-flat major, Wq 47
Keyboard Concerto in B minor, Wq 30
HAYDN
Symphony No. 68 in B-flat major"
2013-2014,Music from the Heart of Europe,5,"Elizabeth Blumenstock, violin and leader
Philharmonia Baroque Orchestra","GEORG MUFFAT
Fasciculus I “Nobilis Juventus” from Florilegium Secundum
JOHANN HEINRICH SCHMELZER
Sonata III from Sacro-profanum Concentus Musicus
JOHANN SCHEIN
Suite VII from Banchetto Musicale
HEINRICH VON BIBER
Sonata IX from Sonatae tam aris quam aulis servientes
J. SCHMELZER
Balletto a 4 Pastorella
JOSEPH UMSTATT
Concerto for Violin, Strings and Continuo in A Major
JOHANN PISENDEL
Sonata for Orchestra in C minor, JunP III 2b
J.S. BACH
Ricercar a 6 from The Musical Offering
GEORG PHILLIP TELEMANN
Overture-Suite in B-flat major “Les Nations”"
2013-2014,Vivaldi's Venice,6,"Nicholas McGegan, conductor
Cécile van de Sant, mezzo-soprano
Vivica Genaux, mezzo-soprano
Diana Moore, mezzo-soprano
Dominique Labelle, soprano
Virginia Warnken, mezzo-soprano
Philharmonia Chorale – Bruce Lamott, director","VIVALDI
Juditha triumphans devicta Holofernis barbarie"
