"account.id","shipping.zip.code","billing.zip.code","shipping.city","billing.city","relationship","amount.donated.2013","amount.donated.lifetime","no.donations.lifetime","first.donated"
"001i000000LhyQ0","","94127","","San Francisco","",0,200,2,"2008-10-30 00:00:00"
"001i000000LhyQ1","","94133","","San Francisco","",100,3477,22,"1988-07-04 00:00:00"
"001i000000LhyQ2","","95014","","Cupertino","",0,2137,13,"1996-11-04 00:00:00"
"001i000000LhyQ3","","94121","","San Francisco","",600,29850,32,"1989-07-04 00:00:00"
"001i000000LhyQ4","94588","94588","Livermore","Livermore","",1500,22256,26,"1989-07-04 00:00:00"
"001i000000LhyQ5","","94597","","Walnut Creek","",0,30,1,"2006-06-06 00:00:00"
"001i000000LhyQ6","","94131","","San Francisco","",4580,30434,26,"2002-03-27 00:00:00"
"001i000000LhyQ7","","94024","","Los Altos","",0,59657.27,24,"1994-04-20 00:00:00"
"001i000000LhyQ8","","94147","","San Francisco","",1500,40868,32,"1988-07-04 00:00:00"
"001i000000LhyQ9","04616","94705","Brooklin","Berkeley","",560,3852,23,"1988-07-04 00:00:00"
"001i000000LhyQA","","95031","","Los Gatos","",0,100,2,"2005-12-31 00:00:00"
"001i000000LhyQB","94131","94127","San Francisco","San Francisco","",0,5621,18,"1997-12-31 00:00:00"
"001i000000LhyQC","","94952","","Petaluma","",3500,40993,18,"1998-10-26 00:00:00"
"001i000000LhyQD","","94301","","Palo Alto","",27140,1266385.34,42,"1988-07-04 00:00:00"
"001i000000LhyQE","","94303","","Palo Alto","",50,524,9,"1997-11-17 00:00:00"
"001i000000LhyQF","","94303","","Palo Alto","",300,4762.68,28,"1995-04-07 00:00:00"
"001i000000LhyQG","","94402","","San Mateo","",300,2881,18,"1996-11-30 00:00:00"
"001i000000LhyQH","","94133","","San Francisco","",600,4400,14,"2001-05-31 00:00:00"
"001i000000LhyQI","","94303","","Palo Alto","",300,3963,28,"1989-07-04 00:00:00"
"001i000000LhyQJ","","94303","","Palo Alto","",0,8752,19,"1990-07-04 00:00:00"
"001i000000LhyQK","","94610","","Oakland","",19700,122842.66,53,"1988-07-04 00:00:00"
"001i000000LhyQL","","94705","","Berkeley","",0,134,2,"1995-04-07 00:00:00"
"001i000000LhyQM","","94301","","Palo Alto","",1150,4380,12,"2005-03-31 00:00:00"
"001i000000LhyQN","","94549","","Lafayette","",0,1599,16,"1998-03-03 00:00:00"
"001i000000LhyQO","","95758","","Elk Grove","",0,150,2,"2012-03-16 00:00:00"
"001i000000LhyQP","","94707","","Berkeley","",500,2925,19,"1988-07-04 00:00:00"
"001i000000LhyQQ","","94530","","El Cerrito","",1000,5680,10,"2006-06-29 00:00:00"
"001i000000LhyQR","","94563","","Orinda","",300,3456,19,"1995-05-08 00:00:00"
"001i000000LhyQS","","94556","","Moraga","",0,0,0,""
"001i000000LhyQT","","94618","","Oakland","",0,0,0,""
"001i000000LhyQU","","94301","","Palo Alto","",500,48862.02,35,"1988-07-04 00:00:00"
"001i000000LhyQV","","94114","","San Francisco","",0,5202.66,19,"1988-07-04 00:00:00"
"001i000000LhyQW","","94118","","San Francisco","",0,450,2,"2011-05-08 00:00:00"
"001i000000LhyQX","","94552","","Castro Valley","",49,405,8,"1996-03-28 00:00:00"
"001i000000LhyQY","","94123","","San Francisco","",27813,283187.28,28,"2008-09-10 00:00:00"
"001i000000LhyQZ","","94549","","Lafayette","",0,6750,10,"2005-03-10 00:00:00"
"001i000000LhyQa","","94618","","Oakland","",0,2986,15,"1997-12-05 00:00:00"
"001i000000LhyQb","","94115","","San Francisco","",1500,8150,10,"2008-10-13 00:00:00"
"001i000000LhyQc","","94086","","Sunnyvale","",1680,20712,52,"1991-07-04 00:00:00"
"001i000000LhyQd","","94305","","Stanford","",700,2660,10,"2007-11-30 00:00:00"
"001i000000LhyQe","","94306","","Palo Alto","",0,4820,28,"1990-07-04 00:00:00"
"001i000000LhyQf","","94117","","San Francisco","",0,7342,38,"1986-07-04 00:00:00"
"001i000000LhyQg","","94602","","Oakland","",72,4212,24,"1995-05-01 00:00:00"
"001i000000LhyQh","","94708","","Berkeley","",50,5552,23,"1995-01-05 00:00:00"
"001i000000LhyQi","","94707","","Kensington","",750,7419.32,28,"1988-07-04 00:00:00"
"001i000000LhyQj","","94801","","Richmond","",300,4374,13,"2005-12-20 00:00:00"
"001i000000LhyQk","","94708","","Berkeley","",100,2358,29,"1989-07-04 00:00:00"
"001i000000LhyQl","","94563","","Orinda","",0,93900,27,"1985-07-04 00:00:00"
"001i000000LhyQm","","94952","","Petaluma","",200,3737,24,"1994-03-28 00:00:00"
"001i000000LhyQn","","94598","","Walnut Creek","",0,4285,22,"1989-07-04 00:00:00"
"001i000000LhyQo","","94303","","Palo Alto","",1250,11532,32,"1992-07-04 00:00:00"
"001i000000LhyQp","","94709","","Berkeley","",225,2362.98,13,"2003-07-21 00:00:00"
"001i000000LhyQq","","94610","","Oakland","",1250,40173.33,43,"2000-06-30 00:00:00"
"001i000000LhyQr","","94110","","San Francisco","",0,100,2,"2000-03-03 00:00:00"
"001i000000LhyQs","","94611","","Oakland","",100,5669,32,"1990-07-04 00:00:00"
"001i000000LhyQt","","94707","","Kensington","",0,2181,19,"1994-12-13 00:00:00"
"001i000000LhyQu","","94019","","Half Moon Bay","",850,3550,6,"2010-02-16 00:00:00"
"001i000000LhyQv","","94707","","Berkeley","",300,4225,25,"1986-07-04 00:00:00"
"001i000000LhyQw","","94025-2706","","Menlo Park","",300,4584.64,22,"1986-07-04 00:00:00"
"001i000000LhyQx","","94803","","El Sobrante","",0,0,0,""
"001i000000LhyQy","","94705","","Berkeley","",300,51000.56,45,"1985-07-04 00:00:00"
"001i000000LhyQz","","94022","","Los Altos","",0,60,1,"1988-07-04 00:00:00"
"001i000000LhyR0","","95120","","San Jose","",300,6861.32,24,"1995-06-02 00:00:00"
"001i000000LhyR1","","94563","","Orinda","",8500,107671.09,41,"2000-05-10 00:00:00"
"001i000000LhyR2","","94118","","San Francisco","",500,16746,20,"1988-07-04 00:00:00"
"001i000000LhyR3","","95448","","Healdsburg","",100,4161,19,"1996-03-26 00:00:00"
"001i000000LhyR4","","94303","","Palo Alto","",1322,10534,26,"1991-07-04 00:00:00"
"001i000000LhyR5","","94116","","San Francisco","",100,325,4,"2011-06-24 00:00:00"
"001i000000LhyR6","","94952","","Petaluma","",200,3520,21,"1994-12-14 00:00:00"
"001i000000LhyR7","","94568","","Dublin","",700,10249,32,"1991-07-04 00:00:00"
"001i000000LhyR8","","94306","","Palo Alto","",0,6864,27,"1991-07-04 00:00:00"
"001i000000LhyR9","","94708","","Berkeley","",600,7884.66,28,"1988-07-04 00:00:00"
"001i000000LhyRA","","94970","","Stinson Beach","",200,31545,15,"1989-07-04 00:00:00"
"001i000000LhyRB","","94530","","El Cerrito","",750,3778.84,14,"2004-07-12 00:00:00"
"001i000000LhyRC","","94062","","Woodside","",0,219269.35,35,"1995-06-28 00:00:00"
"001i000000LhyRD","94545","94541","Hayward","Hayward","",86,357,7,"2006-06-28 00:00:00"
"001i000000LhyRE","","94709","","Berkeley","",0,4565,25,"1990-07-04 00:00:00"
"001i000000LhyRF","94109","94115","San Francisco","San Francisco","",0,1000,2,"2008-11-24 00:00:00"
"001i000000LhyRG","","94304","","Palo Alto","",600,9341,22,"1994-05-03 00:00:00"
"001i000000LhyRH","","94301","","Palo Alto","",300,2130,17,"2002-02-21 00:00:00"
"001i000000LhyRI","","94610","","Oakland","",0,100,1,"2011-06-08 00:00:00"
"001i000000LhyRJ","","94708","","Berkeley","",1500,112112.88,40,"1997-05-09 00:00:00"
"001i000000LhyRK","","94028","","Portola Valley","",0,1566,9,"1996-03-26 00:00:00"
"001i000000LhyRL","","94611","","Oakland","",50,334,6,"2005-04-28 00:00:00"
"001i000000LhyRM","","94305","","Stanford","",606.15,7912.35,25,"1996-01-17 00:00:00"
"001i000000LhyRN","","94708","","Berkeley","",0,0,0,""
"001i000000LhyRO","","94109","","San Francisco","",1750,9575.32,35,"1989-07-04 00:00:00"
"001i000000LhyRP","","94901","","San Rafael","",0,212,2,"1995-04-12 00:00:00"
"001i000000LhyRQ","","94706","","Albany","",30,664,18,"1994-05-04 00:00:00"
"001i000000LhyRR","","94707","","Berkeley","",300,3834.04,21,"1995-05-19 00:00:00"
"001i000000LhyRS","","94549","","Lafayette","",100,3578,30,"1989-07-04 00:00:00"
"001i000000LhyRT","","94618","","Oakland","",1200,13058,27,"1987-07-04 00:00:00"
"001i000000LhyRU","","94610","","Piedmont","",0,8350,16,"1988-07-04 00:00:00"
"001i000000LhyRV","","94708","","Kensington","",200,1595,18,"1985-07-04 00:00:00"
"001i000000LhyRW","","94301","","Palo Alto","",300,1350,5,"2010-10-28 00:00:00"
"001i000000LhyRX","","95677","","Rocklin","",50,4203,14,"2000-12-20 00:00:00"
"001i000000LhyRY","","94123","","San Francisco","",0,38852.64,28,"1987-07-04 00:00:00"
"001i000000LhyRZ","","94087","","Sunnyvale","",0,0,0,""
"001i000000LhyRa","","94526","","Danville","",400,10343.84,39,"1990-07-04 00:00:00"
"001i000000LhyRb","","94303","","Palo Alto","",0,1064.36,10,"1991-07-04 00:00:00"
"001i000000LhyRc","","94301","","Palo Alto","",600,5234.32,20,"1997-04-10 00:00:00"
"001i000000LhyRd","","94109","","San Francisco","",150,3464.96,22,"1999-03-23 00:00:00"
"001i000000LhyRe","","94901","","San Rafael","",0,31571.96,17,"1998-11-06 00:00:00"
"001i000000LhyRf","","94708","","Berkeley","",3500,53230,29,"1985-07-04 00:00:00"
"001i000000LhyRg","","94707","","Berkeley","",0,173,7,"1997-11-24 00:00:00"
"001i000000LhyRh","","94550","","Livermore","",100,925,7,"2008-03-05 00:00:00"
"001i000000LhyRi","","94025","","Menlo Park","",0,166.68,1,"2013-11-15 00:00:00"
"001i000000LhyRj","","94709","","Berkeley","",500,5973,30,"1986-07-04 00:00:00"
"001i000000LhyRk","","94708","","Berkeley","",600,5074,16,"2001-05-14 00:00:00"
"001i000000LhyRl","","94609","","Oakland","",0,251,6,"1989-07-04 00:00:00"
"001i000000LhyRm","","94941","","Mill Valley","",0,225,5,"1994-12-12 00:00:00"
"001i000000LhyRn","","94303","","Palo Alto","",600,9550,20,"1995-12-29 00:00:00"
"001i000000LhyRo","","94530","","El Cerrito","",250,5755,23,"1999-08-09 00:00:00"
"001i000000LhyRp","","94610","","Oakland","",600,10831.66,41,"1985-07-04 00:00:00"
"001i000000LhyRq","","94402","","San Mateo","",300,2834,21,"1992-07-04 00:00:00"
"001i000000LhyRr","","94301","","Palo Alto","",250,4515.32,23,"1994-10-20 00:00:00"
"001i000000LhyRs","","94301","","Palo Alto","",28,168,5,"2008-06-18 00:00:00"
"001i000000LhyRt","","94109","","San Francisco","",150,12914,43,"1988-07-04 00:00:00"
"001i000000LhyRu","94022","94022","Los Altos","Los Altos Hills","",3500,16053.36,14,"2003-05-16 00:00:00"
"001i000000LhyRv","","94114","","San Francisco","",0,0,0,""
"001i000000LhyRw","94040","94040","Mountain Vies","Mountain View","",660,10535,37,"1994-12-02 00:00:00"
"001i000000LhyRx","","94607","","Oakland","",1000,18300,7,"2010-02-06 00:00:00"
"001i000000LhyRy","","94563","","Orinda","",1600,8134,24,"2002-04-03 00:00:00"
"001i000000LhyRz","","94546","","Castro Valley","",72,4873,20,"2000-05-12 00:00:00"
"001i000000LhyS0","","94305","","Stanford","",0,0,0,""
"001i000000LhyS1","","94526","","Danville","",11736.67,326520.36,36,"1985-07-04 00:00:00"
"001i000000LhyS2","","94619","","Oakland","",1250,2250,6,"2011-09-14 00:00:00"
"001i000000LhyS3","","94114","","San Francisco","",780,3328,22,"1999-12-31 00:00:00"
"001i000000LhyS4","","94131","","San Francisco","",0,2055,20,"1994-12-13 00:00:00"
"001i000000LhyS5","","94702","","Berkeley","",0,2451.66,19,"1994-04-27 00:00:00"
"001i000000LhyS6","","94707","","Berkeley","",42,2742,7,"2007-05-03 00:00:00"
"001i000000LhyS7","","94115","","San Francisco","",0,38762.66,14,"2002-10-26 00:00:00"
"001i000000LhyS8","","94707","","Kensington","",500,5003,18,"1996-03-27 00:00:00"
"001i000000LhyS9","","94070","","San Carlos","",850,5522,27,"1992-07-04 00:00:00"
"001i000000LhySA","","94553","","Martinez","",340,4475,34,"1987-07-04 00:00:00"
"001i000000LhySB","","94022","","Los Altos","",25,366,10,"1998-06-19 00:00:00"
"001i000000LhySC","","94022","","Los Altos Hills","",100,455.34,4,"2010-03-08 00:00:00"
"001i000000LhySD","","94618","","Oakland","",100,200,3,"2003-04-14 00:00:00"
"001i000000LhySE","","94109","","San Francisco","",0,5985,23,"1995-05-09 00:00:00"
"001i000000LhySF","","94038","","Moss Beach","",0,444,4,"1994-04-06 00:00:00"
"001i000000LhySG","","94702","","Berkeley","",1250,9568.6,11,"2002-12-30 00:00:00"
"001i000000LhySH","","94556","","Moraga","",550,6969,41,"1991-07-04 00:00:00"
"001i000000LhySI","","94549","","Lafayette","",0,964,7,"2000-12-15 00:00:00"
"001i000000LhySJ","","94025","","Menlo Park","",1000,7918,25,"1989-07-04 00:00:00"
"001i000000LhySK","","94903","","San Rafael","",1200,4678.83,27,"1992-07-04 00:00:00"
"001i000000LhySL","","94708","","Berkeley","",600,3248,20,"1999-04-07 00:00:00"
"001i000000LhySM","","94027","","Atherton","",950,14059.66,41,"1988-07-04 00:00:00"
"001i000000LhySN","","94301","","Palo Alto","",150,1525,11,"2004-05-13 00:00:00"
"001i000000LhySO","","94708","","Berkeley","",300,5550,23,"1990-07-04 00:00:00"
"001i000000LhySP","","94306","","Palo Alto","",360,2635.36,14,"2000-12-31 00:00:00"
"001i000000LhySQ","","94158","","San Francisco","",100,2378,17,"2000-04-04 00:00:00"
"001i000000LhySR","","94930","","Fairfax","",100,3034,14,"1998-05-19 00:00:00"
"001i000000LhySS","","94611","","Oakland","",0,808,10,"1998-10-26 00:00:00"
"001i000000LhyST","","94705","","Berkeley","",0,238,3,"1985-07-04 00:00:00"
"001i000000LhySU","","94501","","Alameda","",300,6399.7,26,"1986-07-04 00:00:00"
"001i000000LhySV","","94707","","Kensington","",0,1078,13,"1994-11-30 00:00:00"
"001i000000LhySW","","94937","","Inverness","",150,2486,18,"1998-03-24 00:00:00"
"001i000000LhySX","94530","94530","El Cerrito","El Cerrito","",300,900,3,"2012-04-18 00:00:00"
"001i000000LhySY","","94025","","Menlo Park","",0,3943.66,21,"1994-12-30 00:00:00"
"001i000000LhySZ","","94114","","San Francisco","",0,1246,12,"2000-12-31 00:00:00"
"001i000000LhySa","","94952","","Petaluma","",0,225,3,"1995-11-02 00:00:00"
"001i000000LhySb","","94131","","San Francisco","",0,2872,11,"1988-07-04 00:00:00"
"001i000000LhySc","","94941","","Mill Valley","",1500,14310,19,"1999-07-30 00:00:00"
"001i000000LhySd","","94583","","San Ramon","",200,2552,17,"1997-04-29 00:00:00"
"001i000000LhySe","","94574","","St. Helena","",0,20829.98,9,"2006-07-25 00:00:00"
"001i000000LhySf","","94061","","Redwood City","",150,1633.32,14,"1988-07-04 00:00:00"
"001i000000LhySg","","94708","","Kensington","",75,300,6,"2004-03-29 00:00:00"
"001i000000LhySh","","94401","","San Mateo","",0,0,0,""
"001i000000LhySi","","94602","","Oakland","",0,930.66,8,"2001-01-29 00:00:00"
"001i000000LhySj","","94507","","Alamo","",0,0,0,""
"001i000000LhySk","","94510","","Benicia","",100,2487,37,"1994-12-09 00:00:00"
"001i000000LhySl","","95633","","Garden Valley","",150,2603.32,21,"1998-04-30 00:00:00"
"001i000000LhySm","","93130","","Santa Barbara","",400,7296.66,16,"2002-12-10 00:00:00"
"001i000000LhySn","","94556","","Moraga","",150,888.66,10,"2003-07-28 00:00:00"
"001i000000LhySo","","94611","","Oakland","",250,6141.74,24,"1989-07-04 00:00:00"
"001i000000LhySp","94564","94564","Pinole","Pacheco","",300,5321,18,"1998-05-19 00:00:00"
"001i000000LhySq","","94127","","San Francisco","",0,0,0,""
"001i000000LhySr","","94025","","Menlo Park","",150,1198.32,7,"2006-03-17 00:00:00"
"001i000000LhySs","","94946","","Nicasio","",0,21567.24,19,"1989-07-04 00:00:00"
"001i000000LhySt","","94304","","Palo Alto","",7947.5,36198.12,19,"2006-05-01 00:00:00"
"001i000000LhySu","","94610","","Oakland","",100,600,12,"1985-07-04 00:00:00"
"001i000000LhySv","","94925","","Corte Madera","",0,28203,53,"1987-07-04 00:00:00"
"001i000000LhySw","","94708","","Berkeley","",600,2400,5,"2011-04-14 00:00:00"
"001i000000LhySx","","94707","","Berkeley","",0,0,0,""
"001i000000LhySy","","94596","","Walnut Creek","",0,0,0,""
"001i000000LhySz","","94707","","Berkeley","",150,1405,18,"2003-05-16 00:00:00"
"001i000000LhyT0","","94556","","Moraga","",0,275,3,"1991-07-04 00:00:00"
"001i000000LhyT1","","94920","","Belvedere","",300,4320,31,"1990-07-04 00:00:00"
"001i000000LhyT2","","94618","","Oakland","",0,2250,14,"1985-07-04 00:00:00"
"001i000000LhyT3","","94062","","Woodside","",750,12822,16,"2002-04-12 00:00:00"
"001i000000LhyT4","","94129","","San Francisco","",500,1850,6,"2009-05-13 00:00:00"
"001i000000LhyT5","","95030","","Monte Sereno","",0,596,8,"2004-04-14 00:00:00"
"001i000000LhyT6","","94304","","Palo Alto","",0,2975,11,"2004-06-18 00:00:00"
"001i000000LhyT7","","94306","","Palo Alto","",150,3950,25,"1991-07-04 00:00:00"
"001i000000LhyT8","","94610","","Oakland","",0,170,7,"1994-12-14 00:00:00"
"001i000000LhyT9","","94611","","Piedmont","",15600,178747.01,71,"1985-07-04 00:00:00"
"001i000000LhyTA","","94708","","Berkeley","",50,243,5,"1998-12-28 00:00:00"
"001i000000LhyTB","","94117","","San Francisco","",150,4295,35,"1989-07-04 00:00:00"
"001i000000LhyTC","","94542","","Hayward","",150,1475,8,"2007-04-26 00:00:00"
"001i000000LhyTD","","94028","","Portola Valley","",672,3799,18,"1997-06-13 00:00:00"
"001i000000LhyTE","","94941","","Mill Valley","",13000,83053.32,13,"2012-02-24 00:00:00"
"001i000000LhyTF","","94611","","Oakland","",0,10324,33,"1988-07-04 00:00:00"
"001i000000LhyTG","","94965","","Sausalito","",0,0,0,""
"001i000000LhyTH","","94117","","San Francisco","",11000,176602,51,"1996-01-16 00:00:00"
"001i000000LhyTI","","94507","","Alamo","",600,4453,17,"1998-12-31 00:00:00"
"001i000000LhyTJ","","94306","","Palo Alto","",2100,12695,43,"1990-07-04 00:00:00"
"001i000000LhyTK","","94618","","Oakland","",375,1549,9,"2009-12-18 00:00:00"
"001i000000LhyTL","","94061","","Redwood City","",0,400,2,"2009-04-02 00:00:00"
"001i000000LhyTM","","94301","","Palo Alto","",1900,5100,10,"2009-04-15 00:00:00"
"001i000000LhyTN","","94708","","Berkeley","",600,3980.32,19,"1999-05-07 00:00:00"
"001i000000LhyTO","","94114","","San Francisco","",250,4790,17,"1999-06-23 00:00:00"
"001i000000LhyTP","","94117","","San Francisco","",1000,2850,6,"2010-12-28 00:00:00"
"001i000000LhyTQ","","94705","","Berkeley","",0,3200,10,"1997-02-24 00:00:00"
"001i000000LhyTR","","95005","","Ben Lomond","",50,297,6,"1994-12-23 00:00:00"
"001i000000LhyTS","","94305","","Stanford","",6150,45258,11,"2004-04-09 00:00:00"
"001i000000LhyTT","","94920","","Tiburon","",1200,47250,37,"1986-07-04 00:00:00"
"001i000000LhyTU","","94566","","Pleasanton","",100,1205.7,16,"1997-04-18 00:00:00"
"001i000000LhyTV","","94610","","Oakland","",0,29200.03,16,"2004-03-17 00:00:00"
"001i000000LhyTW","","94061","","Redwood City","",0,675,45,"1998-10-19 00:00:00"
"001i000000LhyTX","","94611","","Oakland","",3400,51965,35,"1985-07-04 00:00:00"
"001i000000LhyTY","","94303","","Palo Alto","",750,9285,31,"1991-07-04 00:00:00"
"001i000000LhyTZ","","94709","","Berkeley","",21129.46,183992.95,26,"2001-11-09 00:00:00"
"001i000000LhyTa","","94022","","Los Altos","",0,3250,4,"2000-12-14 00:00:00"
"001i000000LhyTb","","94960","","San Anselmo","",0,0,0,""
"001i000000LhyTc","","94704","","Berkeley","",100,4183,29,"1988-07-04 00:00:00"
"001i000000LhyTd","","94131","","San Francisco","",0,325,4,"2006-09-11 00:00:00"
"001i000000LhyTe","","94563","","Orinda","",0,100,4,"1998-10-24 00:00:00"
"001i000000LhyTf","","94530","","El Cerrito","",0,0,0,""
"001i000000LhyTg","94115","94108","San Francisco","San Francisco","",10000,233695,33,"1998-04-14 00:00:00"
"001i000000LhyTh","","94705","","Berkeley","",0,8,1,"2010-02-11 00:00:00"
"001i000000LhyTi","","94530","","El Cerrito","",600,5290.32,32,"1995-01-05 00:00:00"
"001i000000LhyTj","94604-2675","94707","Oakland","Berkeley","",0,12015,25,"1988-07-04 00:00:00"
"001i000000LhyTk","","94306","","Palo Alto","",75,691,21,"1997-04-10 00:00:00"
"001i000000LhyTl","","94705","","Berkeley","",100,475,6,"2009-04-06 00:00:00"
"001i000000LhyTm","","94618","","Oakland","",325,3898,23,"1989-07-04 00:00:00"
"001i000000LhyTn","","94043","","Mountain View","",0,225,4,"2000-12-31 00:00:00"
"001i000000LhyTo","","94111","","San Francisco","",150,930,9,"1998-11-18 00:00:00"
"001i000000LhyTp","","94530","","El Cerrito","",160,2010,10,"2004-07-12 00:00:00"
"001i000000LhyTq","","94708","","Berkeley","",0,200,1,"2012-06-01 00:00:00"
"001i000000LhyTr","","94404","","Foster City","",11000,136270,35,"1986-07-04 00:00:00"
"001i000000LhyTs","","94708","","Berkeley","",70,3295,33,"1985-07-04 00:00:00"
"001i000000LhyTt","","94707","","Berkeley","",0,3900,14,"1997-12-02 00:00:00"
"001i000000LhyTu","","94703","","Berkeley","",300,2152,19,"1995-01-11 00:00:00"
"001i000000LhyTv","","94707","","Berkeley","",200,931.7,8,"1985-07-04 00:00:00"
"001i000000LhyTw","","94501","","Alameda","",150,2592,23,"1991-07-04 00:00:00"
"001i000000LhyTx","","94566","","Pleasanton","",300,5631,20,"1995-05-11 00:00:00"
"001i000000LhyTy","","94131-1828","","San Francisco","",1000,58040,48,"1985-07-04 00:00:00"
"001i000000LhyTz","","94117","","San Francisco","",2500,39846.87,34,"1985-07-04 00:00:00"
"001i000000LhyU0","","94306","","Palo Alto","",400,4432,23,"1992-07-04 00:00:00"
"001i000000LhyU1","","94523-4669","","Pleasant Hill","",5202.5,102113.52,63,"1985-07-04 00:00:00"
"001i000000LhyU2","","94610","","Oakland","",10113.75,125573.77,37,"2002-10-26 00:00:00"
"001i000000LhyU3","","94040","","Mountain View","",200,5349,24,"1987-07-04 00:00:00"
"001i000000LhyU4","94111","94111","San Francisco","San Francisco","",1250,8500,12,"2007-04-27 00:00:00"
"001i000000LhyU5","","94121","","San Francisco","",0,8873,14,"1985-07-04 00:00:00"
"001i000000LhyU6","","94704","","Berkeley","",5000,47552,39,"1985-07-04 00:00:00"
"001i000000LhyU7","","95014","","Cupertino","",200,4745,18,"2000-08-23 00:00:00"
"001i000000LhyU8","","94707","","Kensington","",0,31265.66,25,"1985-07-04 00:00:00"
"001i000000LhyU9","","94965","","Sausalito","",62,2794.33,24,"1985-07-04 00:00:00"
"001i000000LhyUA","","94115","","San Francisco","",160,1736,14,"1999-11-05 00:00:00"
