zip,count
68588,1
69124,1
70037,1
70115,1
70118,1
70119,1
70503,2
70815,1
71908,1
72207,1
72519,1
72525,1
72544,1
72634,1
73120,1
74119,1
75006,1
75016,1
75023,2
75034,1
75040,1
75070,1
75080,1
75204,1
75206,1
75228,1
75266,1
75432,1
76011,1
76021,1
76033,1
76102,2
76116,1
77002,2
77006,1
77019,1
77027,1
77084,1
77098,1
77379,1
77393,1
77550,1
77706,1
77803,1
77805,1
77840,1
78028,1
78109,1
78216,1
78254,1
78653,1
78703,2
78704,2
78712,1
78727,1
78731,1
78734,1
78737,1
78745,1
78746,1
78759,1
78766,1
79843,1
80007,1
80026,2
80027,1
80031,1
80112,1
80124,1
80126,2
80205,2
80206,2
80208,1
80209,2
80210,1
80211,1
80218,2
80231,1
80301,1
80302,1
80303,2
80304,1
80305,3
80309,1
80401,2
80439,1
80455,1
80477,1
80478,1
80504,1
80521,2
80525,1
80540,1
80601,2
80904,1
80906,2
80917,1
80920,1
81220,1
81224,1
81323,1
81501,1
81611,1
81632,1
82001,1
82071,1
83014,3
83209,1
83340,1
83353,1
83440,2
83638,1
83642,1
83706,1
83712,2
83713,1
83716,1
83725,1
83835,3
83836,1
83864,1
84004,1
84060,1
84062,1
84103,1
84105,3
84108,1
84109,1
84124,1
84403,1
84408,1
84607,1
84720,1
85004,2
85007,1
85016,1
85018,1
85028,1
85071,1
85086,1
85201,1
85226,1
85251,2
85254,1
85255,1
85260,1
85262,2
85280,2
85282,2
85287,1
85331,1
85367,1
85375,1
85403,1
85614,1
85629,1
85641,1
85705,1
85712,1
85713,1
85716,2
85717,1
85718,5
85719,2
85721,2
85739,1
85745,1
85748,1
85750,1
86001,3
86004,1
86301,1
86303,2
86305,1
87004,1
87059,1
87108,1
87120,1
87124,1
87131,1
87501,7
87502,1
87504,1
87505,3
87506,2
87507,2
87508,3
87510,1
87557,1
87571,1
87574,1
89014,1
89101,1
89106,1
89108,1
89113,1
89115,1
89117,1
89130,1
89131,1
89145,1
89154,1
89402,1
89433,1
89445,1
89449,1
89450,1
89451,3
89501,1
89502,1
89503,2
89509,1
89519,2
89521,2
89557,1
89701,1
89703,1
90004,1
90005,1
90017,1
90019,1
90020,1
90024,3
90027,5
90034,2
90035,3
90039,2
90041,1
90042,1
90045,2
90046,4
90048,1
90049,4
90056,1
90064,1
90065,1
90066,4
90067,1
90068,2
90069,1
90071,2
90095,1
90201,1
90210,4
90211,1
90212,1
90232,2
90241,1
90254,2
90265,1
90272,2
90274,4
90275,4
90277,1
90291,1
90292,3
90293,2
90295,1
90402,2
90403,3
90405,5
90504,1
90505,1
90601,1
90608,1
90621,1
90623,1
90630,1
90631,2
90638,2
90639,1
90650,1
90701,1
90703,2
90713,1
90717,1
90720,1
90732,1
90740,5
90802,1
90803,10
90806,1
90807,1
90808,1
90814,1
90815,1
91001,3
91006,1
91007,1
91016,1
91024,2
91030,8
91042,1
911,1
91101,1
91105,1
91106,6
91107,1
91108,1
91202,1
91203,2
91206,1
91208,1
91302,1
91307,1
91313,1
91316,3
91325,2
91326,1
91330,1
91355,1
91360,2
91361,1
91362,2
91364,5
91367,1
91409,1
91505,1
91601,2
91602,1
91710,1
91711,4
91720,1
91730,1
91734,1
91740,1
91741,1
91745,1
91764,1
91775,1
91790,1
91902,1
91941,2
91950,1
92004,1
92007,1
92008,1
92009,4
92011,1
92014,2
92019,1
92024,5
92025,1
92037,5
92041,1
92054,1
92056,3
92064,1
92065,1
92067,2
92075,1
92101,2
92103,2
92104,1
92105,1
92107,2
92108,1
92111,2
92115,1
92116,2
92120,2
92122,3
92126,2
92127,1
92130,2
92131,1
92203,1
92211,2
92234,2
92240,1
92241,1
92253,1
92260,2
92262,1
92263,1
92264,2
92270,1
92307,1
92336,1
92346,2
92354,2
92373,2
92397,1
92503,1
92504,1
92505,1
92506,2
92507,5
92590,1
92603,2
92604,7
92606,4
92607,1
92612,45
92614,9
92615,1
92617,2
92618,5
92620,10
92623,1
92624,1
92625,32
92626,10
92627,12
92629,7
92630,5
92637,2
92646,15
92647,1
92648,13
92649,11
92650,1
92651,32
92652,2
92653,22
92654,1
92656,6
92657,5
92659,1
92660,42
92661,5
92662,2
92663,16
92672,4
92673,5
92674,1
92675,3
92676,2
92677,17
92679,5
92681,1
92683,1
92688,1
92690,2
92691,7
92692,6
92694,1
92697,2
92701,2
92704,6
92705,22
92706,5
92707,2
92708,7
92780,3
92782,5
92799,1
92801,1
92802,3
92803,1
92804,2
92805,3
92806,2
92807,4
92817,2
92821,5
92831,5
92832,3
92833,2
92835,5
92840,3
92841,1
92861,2
92865,1
92866,2
92867,5
92869,6
92870,5
92871,1
92876,1
92882,1
92883,1
92886,8
92887,2
92961,1
93003,1
93012,1
93014,1
93023,3
93024,1
93060,1
93101,3
93103,3
93105,3
93106,1
93108,6
93109,4
93110,1
93111,2
93117,1
93130,1
93140,1
93150,2
93221,1
93230,1
93257,1
93277,1
93292,1
93301,1
93306,1
93308,1
93401,3
93402,1
93405,2
93407,1
93420,2
93422,2
93424,2
93433,1
93436,3
93442,1
93447,2
93449,5
93460,1
93514,1
93534,2
93535,1
93561,1
93602,1
93610,1
93611,1
93612,1
93614,3
93620,2
93654,1
93657,1
93702,1
93704,5
93706,2
93711,1
93720,2
93728,1
93908,3
93921,8
93922,1
93923,3
93924,2
93933,1
93940,8
93950,6
93953,3
93993,1
94002,45
94005,11
94010,71
94011,5
94014,16
94015,22
94018,9
94019,29
94020,5
94022,124
94023,1
94024,75
94025,250
94026,11
94027,56
94028,69
94030,27
94033,1
94035,4
94037,7
94038,12
94039,1
94040,61
94041,33
94042,2
94043,69
94044,43
94060,1
94061,55
94062,90
94063,15
94065,25
94066,29
94070,81
94073,1
94078,1
94080,24
94083,1
94085,11
94086,33
94087,69
94089,9
94101,2
94102,133
94103,91
94104,43
94105,43
94107,104
94108,69
94109,325
94110,242
94111,85
94112,65
94113,2
94114,338
94115,235
94116,110
94117,288
94118,223
94119,4
94120,2
94121,136
94122,149
94123,161
94124,13
94126,4
94127,117
94128,2
94129,13
94130,4
94131,202
94132,41
94133,102
94134,17
94141,3
94142,2
94143,3
94146,2
94147,8
94158,11
94159,1
94163,1
94164,2
94171,1
94177,1
94188,1
94196,1
94301,265
94302,6
94303,155
94304,77
94305,86
94306,206
94309,1
94394,1
94401,29
94402,63
94403,42
94404,50
944041913,1
94410,1
944501,1
94501,117
94502,32
94503,2
94506,32
94507,69
94508,2
94509,17
94510,49
94511,1
94513,12
94514,4
94515,8
94517,29
94518,33
94519,14
94520,18
94521,51
94522,2
94523,102
94524,1
94525,7
94526,83
94528,3
94530,215
94531,5
94532,1
94533,13
94534,4
94536,30
94538,16
94539,32
94541,17
94542,11
94544,16
94545,11
94546,51
94547,19
94549,246
94550,61
94551,10
94552,22
94553,60
94555,9
94556,111
94557,1
94558,31
94559,11
94560,13
94561,8
94562,7
94563,207
94564,23
94565,9
94566,40
94568,44
94569,1
94570,1
94571,3
94572,3
94573,1
94574,18
94575,3
94576,1
94577,70
94578,7
94579,2
94580,11
94581,1
94582,8
945823,1
94583,59
94585,6
94587,17
94588,31
94589,2
94590,12
94591,11
94592,1
94595,183
94596,133
94597,62
94598,142
94599,5
94601,22
94602,123
94603,2
94604,7
94605,27
94606,40
94607,24
94608,49
94609,70
94610,237
94611,373
94612,33
94613,1
94618,245
94619,51
94620,4
94621,2
94622,1
94649,1
94662,2
94701,2
94702,123
94703,162
94704,117
94705,386
94706,150
94707,432
94708,432
94709,178
94710,27
94712,7
94720,11
94801,33
94803,47
94804,66
94805,39
94806,21
94807,3
94808,1
94820,1
94901,136
94903,117
94904,73
94912,1
94913,2
94914,2
94915,5
94917,1
94920,87
94921,1
94922,1
94923,2
94924,9
94925,36
94928,9
94930,26
94931,2
94933,4
94937,11
94938,1
94939,50
94940,1
94941,193
94942,7
94945,31
94946,8
94947,27
94949,28
94951,8
94952,28
94953,1
94954,11
94955,1
94956,14
94957,27
94958,1
94960,79
94963,1
94965,70
94966,8
94970,8
94971,3
94973,8
94976,3
94977,1
94978,1
94979,6
94991,1
95001,1
95002,1
95003,11
95004,1
95005,2
95006,4
95008,14
95009,1
95010,2
95014,66
95015,1
95018,3
95019,1
95020,1
95023,2
95024,1
95030,23
95031,4
95032,35
95033,10
95035,6
95037,9
95043,1
95045,1
95050,14
95051,31
95054,8
95056,1
95060,31
95061,2
95062,13
95065,3
95066,8
95070,27
95071,1
95073,4
95076,5
95104,2
95110,6
95111,6
95112,22
95113,4
95116,5
95117,4
95118,16
95119,4
95120,18
95121,1
95123,11
95124,22
95125,31
95126,20
95127,5
95128,12
95129,33
95130,9
95131,4
95132,7
95133,5
95134,4
95135,4
95136,6
95138,4
95139,1
95140,1
95148,3
95158,3
95159,1
95160,1
95164,1
95203,1
95204,1
95207,1
95209,5
95212,1
95213,1
95215,1
95220,1
95221,1
95240,2
95246,1
95258,2
95301,1
95304,2
95305,2
95307,2
95315,1
95321,1
95335,1
95336,2
95338,1
95340,4
95350,5
95351,1
95354,4
95355,4
95356,1
95357,1
95358,1
95367,1
95372,1
95376,5
95380,1
95382,2
95383,2
95384,1
95389,1
95401,8
95402,1
95403,7
95404,16
95405,13
95407,5
95409,24
95415,1
95422,1
95425,2
95426,1
95427,1
95436,5
95441,4
95442,7
95445,2
95446,1
95448,17
95452,1
95454,1
95456,1
95460,5
95461,1
95462,2
95465,2
95466,2
95470,1
95472,36
95473,2
95476,39
95482,2
95486,1
95490,1
95492,3
95497,1
95501,3
95503,3
95516,1
95518,1
95519,1
95521,1
95524,2
95536,1
95543,1
95553,1
95565,1
95570,1
95602,2
95603,4
95604,1
95605,1
95608,4
95616,40
95617,2
95618,6
95619,2
95620,1
95621,1
95624,3
95625,1
95627,1
95628,4
95629,1
95630,2
95633,2
95648,4
95650,1
95667,5
95670,1
95673,1
95677,1
95678,1
95682,3
95685,1
95687,1
95688,6
95689,1
95691,1
95692,1
95693,1
95695,6
95696,1
95728,1
95741,1
95747,5
95758,5
95762,5
95765,2
95798,2
95811,1
95814,8
95816,1
95818,8
95819,4
95820,1
95821,2
95823,1
95825,5
95827,1
95831,6
95833,2
95834,2
95835,3
95842,1
95843,1
95864,7
95901,1
95924,1
95926,4
95945,8
95946,1
95949,4
95959,5
95960,1
95961,1
95962,6
95965,2
95969,3
95973,1
95975,1
95987,1
95991,1
96001,1
96003,2
96027,1
96028,1
96067,2
96094,2
96099,1
96106,2
96120,2
96122,1
96125,1
96130,1
96145,3
96150,1
96155,1
96161,2
96162,1
96703,1
96706,1
96720,1
96727,2
96732,1
96734,2
96741,1
96743,1
96744,2
96753,1
96768,1
96778,1
96792,1
96812,1
96813,1
96815,2
96816,1
96817,1
96822,1
97006,2
97034,2
97051,1
97068,1
97070,1
97080,1
97110,1
97115,1
97124,1
97149,1
97201,1
97202,1
97204,1
97205,2
97206,1
97209,1
97210,3
97212,3
97213,2
97214,3
97215,3
97219,1
97221,2
97225,2
97229,1
97232,3
97280,1
97304,1
97330,2
97333,1
97355,1
97361,1
97370,1
97402,1
97405,1
97424,1
97470,1
97477,1
97478,1
97504,3
97520,10
97522,1
97526,1
97535,1
97601,2
97701,4
97702,1
97759,1
98001,1
98006,1
98007,1
98011,1
98012,1
98020,2
98023,1
98026,1
98033,1
98034,1
98037,2
98040,6
98052,1
98053,2
98059,1
98070,1
98072,1
98074,2
98075,1
98101,2
98102,3
98103,2
98104,2
98105,2
98109,1
98110,3
98111,1
98112,1
98115,3
98116,3
98117,3
98118,1
98119,1
98121,1
98122,4
98125,2
98136,2
98155,2
98166,1
98168,1
98199,3
98203,1
98221,1
98225,4
98226,1
98229,1
98236,1
98238,1
98239,2
98243,1
98245,1
98250,1
98257,1
98261,1
98270,1
98273,2
98279,1
98282,1
98286,1
98296,1
98310,1
98335,1
98340,2
98362,1
98363,1
98365,2
98366,1
98368,1
98402,1
98406,2
98466,1
98501,2
98506,2
98516,1
98593,1
98595,1
98642,1
98663,1
98672,1
98675,1
98683,1
98684,1
98685,1
99163,1
99223,1
99354,1
99501,1
99502,1
99508,1
99516,3
99577,1
99709,1
99801,1
99802,1
A-5010,1
AL5 9FA,1
BN3 3UL,1
C.P. 03900,1
CB1 1DP,1
D-69214,1
E3 4NX,1
GL6 9LJ,1
K9A 0A9,1
M3C3T9,1
M4V2G,2
M5S 1X7,1
N7M 5K6,1
OX18 4AB,1
R2M 4R3,1
SM5 3RU,1
SW1P 2EF,1
Sw40HD,1
T2E 5A6,1
T2L 2L2,1
t2m 4j3,1
T6E2C9,1
T8N 3Z9,1
TN23 3GU,1
V6G 2E3,1
V6H 1B6,1
